kidx_cos,kidx_corr,kidx_city,kidx_sq,nidx,cidx,idx
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,1,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,2,1,1,2,2,1
1,1,1,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
1,1,2,1,2,2,1
2,1,1,1,2,2,1
1,1,2,1,2,2,2
1,2,1,1,2,2,2
1,1,2,1,2,2,2
1,1,2,1,2,2,2
1,1,2,1,2,2,1
