TIME_SAMPLE,MINACCX,MINACCY,MINACCZ,MAXACCX,MAXACCY,MAXACCZ,MEDIANACCX,MEDIANACCY,MEDIANACCZ,MEANACCX,MEANACCY,MEANACCZ,ARMEMANX,ARMMEANY,ARMMEANZ,RMSX,RMSY,RMSZ,VARX,VARY,VARZ,STDX,STDY,STDZ,KURTX,KURTY,KURTZ,SKEWX,SKEWY,SKEWZ,MODEX,MODEY,MODEZ,TRIMX,TRIMY,TRIMZ,RANGEX,RANGEY,RANGEZ,SMV,SMA,EVA,AAE,FREEZE
750000,-236,935,131,109,1009,252,-81,972,191,-72.9323308270677,971.263157894737,190.894736842105,0,971.058346823052,188.457977071815,100.370067131291,971.365800714125,192.09433381208,4791.04841649578,200.907496012759,462.91307814992,69.217399665805,14.1741841392286,21.5154148960674,2.72482903808554,3.00969941285538,3.22795018143186,0.127062537141527,0.191609141484097,0.145168269019721,-109,972,191,-72.9495798319328,971.025210084034,190.90756302521,345,74,121,995.1744103105,1245.27067669173,4891.89301788278,990525.902255639,1
752078,-263,916,131,218,1037,262,-63,972,191,-64.3759398496241,969.203007518797,194.037593984962,0,969.000296902528,190.94354260221,96.3201116578175,969.304758208539,195.521377405532,5172.19093187514,198.738778765095,582.400091136933,71.9179458263036,14.0974741980645,24.1329668946222,5.85939316334214,7.17260355612465,2.88787045817427,0.509446562784593,0.358900903866951,-0.0671789326085715,-54,962,202,-65.8403361344538,969.294117647059,194,481,121,131,993.410723614794,1243.25563909774,5238.54692615071,987057.887218045,1
754156,-272,925,131,27,1009,252,-90,972,191,-93.7443609022556,969.541353383459,191.022556390977,0,969.337619542632,187.491015382756,105.644246255616,969.642686689083,192.710230871915,2390.67657780816,197.992595124174,652.522214627478,48.8945454811491,14.0709841562051,25.5445143744695,3.77096747475924,3.85168315976387,2.73477595910293,-0.450154162957974,-0.318975403072355,-0.0544749035035407,-72,972,191,-92.5714285714286,969.823529411765,191.302521008403,299,84,121,994.150225700688,1254.71428571429,2452.06521592701,988504.879699248,1
756234,-245,925,90,18,1009,232,-109,972,181,-108.225563909774,968.812030075188,183.022556390977,0,968.572566793835,178.185354590939,116.65919775591,968.931626194853,185.042608383294,1910.9638869902,233.502278423331,749.14342674869,43.7145729361526,15.2807813420431,27.3704845910461,3.68700386005208,3.0474089408804,3.47710812543906,0.0270869123639084,-0.0358963906677668,-0.684038780562026,-118,962,181,-108.310924369748,968.672268907563,184.386554621849,263,84,142,993.222007256244,1260.33082706767,1942.33085920796,986678.631578947,1
758312,-272,935,111,54,1018,232,-109,972,171,-109.563909774436,969.857142857143,174.052631578947,0,969.60324045316,170.101661920494,128.295652444228,969.984090250116,175.905199177694,4489.27808156756,248.123376623377,653.232057416268,67.0020752034409,15.7519324726643,25.5584048292586,2.48727908752436,3.06459355983697,2.84043419587783,-0.211400886885674,0.035340838114413,-0.107378817180356,-118,981,171,-108.873949579832,969.840336134454,174.268907563025,326,83,121,994.046380456664,1254.96240601504,4561.01395314307,988271.54887218,1
760390,-263,935,70,63,1018,262,-127,972,171,-111.308270676692,969.578947368421,175.887218045113,0,969.227872116229,169.512998876675,131.411939124118,969.755499764404,178.533394445775,4916.5330371383,344.988038277512,944.964456596035,70.1179936759339,18.5738536194704,30.740274178934,2.54896149986994,2.58779672575813,3.79271826847064,0.416004813761328,0.33567686763176,-0.335711027017986,-154,962,171,-113.09243697479,968.991596638655,176.747899159664,326,83,192,994.675803276652,1261.37593984962,5055.3656680277,989569,1
762468,-209,935,141,-27,1009,282,-127,962,202,-127.609022556391,964.609022556391,199.142857142857,-112.524662785797,964.412397495066,195.539206865317,132.908640678164,964.707883637259,200.920662904428,1391.1035543404,192.179311916154,716.623376623376,37.2975006446866,13.8628753120034,26.7698221253593,2.9455798936341,3.09171912792324,3.18925257388551,0.223656082093293,0.42043931617838,0.212158759069057,-145,962,202,-127.991596638655,964.151260504202,198.865546218487,182,74,141,994.228827143936,1291.36090225564,1554.33043049753,988695.120300752,1
764546,-254,935,141,-27,1000,282,-145,962,202,-138.593984962406,961.827067669173,202.503759398496,-117.994994499372,961.641316501829,198.76220086057,144.992792146493,961.919833934873,204.37918099469,1828.36420596947,179.810776942356,768.857940305308,42.7593756499024,13.4093540837117,27.7282877276133,3.1860677815792,2.56000231048856,2.92973224930163,0.39685356814223,-0.0597675627653282,0.296841260467434,-136,962,191,-139.428571428571,962.042016806723,201.865546218487,227,65,141,993.945338672727,1302.92481203008,1858.08634134437,988083.526315789,1
766625,-200,935,141,-45,1000,313,-127,962,202,-127.578947368421,963.533834586466,201.804511278195,-118.996650419495,963.391002149526,199.342399117231,131.491673311948,963.605400784498,203.062381614783,1021.35167464115,138.962861699704,513.128161312373,31.9585931267499,11.7882510025747,22.6523323592157,3.08748610723047,3.14963272010889,6.37078864510346,-0.292885357865839,0.200940059885634,0.68095381481113,-127,962,191,-127.050420168067,963.344537815126,201.663865546218,155,65,172,993.429614514371,1292.91729323308,1037.84442954721,987059.759398496,1
768703,-218,935,151,-45,981,252,-127,962,202,-126.225563909774,963.766917293233,200.93984962406,-115.625507796549,963.676227680739,198.557914916174,130.693983385744,963.812202872538,202.109346567458,1156.72146274778,87.9528366370472,474.935748462064,34.0106080914143,9.37831736704657,21.7930206364805,2.72995874117289,2.94625263464618,2.40474967406182,0.0125204671571511,-0.113443319603459,0.0170560038186575,-136,962,191,-126.016806722689,963.915966386555,201.042016806723,173,46,101,993.36928116845,1290.93233082707,1231.60385584086,986863.067669173,1
770781,-236,925,151,-63,990,262,-127,962,202,-133.368421052632,961.18045112782,203.436090225564,-123.572095470095,961.047005978376,201.096290083466,138.058067765661,961.246922812521,204.585496953987,1282.5374800638,128.755069491912,472.535657325131,35.812532444157,11.3470291042154,21.737885300211,3.31124451158494,4.00073952397684,2.57939623489359,-0.447762703537376,-0.28224193319184,0.0299306717836896,-127,962,202,-132.151260504202,961.268907563025,203.327731092437,173,65,111,992.362211063918,1297.98496240602,1337.22180995412,984910.902255639,1
772859,-254,925,121,-36,1027,262,-136,962,202,-138.436090225564,962.187969924812,197.541353383459,-127.277768197752,961.951751546808,193.594992670199,143.449239142375,962.307146971684,199.332400815918,1423.83868762816,231.09318751424,716.204716336295,37.7337870830395,15.201749488603,26.762001351474,3.39113309401497,4.78259313187319,3.4779625237008,-0.453852759482529,0.630311688967753,-0.309402391059627,-136,953,212,-137.285714285714,961.823529411765,197.915966386555,218,102,141,993.021557327056,1298.16541353383,1614.36087592537,986346.135338346,1
774937,-245,925,151,-72,1000,262,-136,962,202,-139.18045112782,961.984962406015,203.375939849624,-127.643277326741,961.798682858018,201.158501905425,144.880583442526,962.078381437851,204.502716124397,1631.45203918888,181.105832763727,463.06971975393,40.3912371584343,13.4575567159766,21.5190548062393,2.83451323870855,2.85538837485189,3.13410068714417,-0.454373022167941,0.243692481660253,0.391484912049345,-136,962,191,-137.436974789916,961.697478991597,202.924369747899,173,75,111,994.097092191153,1304.54135338346,1775.37591311442,988406.556390977,1
777015,-190,935,151,-72,981,252,-136,962,202,-134.609022556391,963.729323308271,201.864661654135,-130.720478689601,963.615018209083,200.666848357882,136.453385138623,963.786314568938,202.456121673333,503.724766461608,110.68375484165,240.951241740715,22.4438135454207,10.5206347166723,15.5226042190322,2.73630329672406,2.87677249111638,3.60242497402061,-0.0551287134181252,-0.236787982285857,0.0625722059243969,-136,962,202,-134.638655462185,964.100840336134,201.739495798319,118,46,101,994.169069398105,1300.2030075188,523.525648216091,988492.067669173,1
779093,-254,935,161,-18,1000,252,-127,962,202,-129.721804511278,961.804511278195,200.586466165414,-117.956982915153,961.68099701484,198.975163386219,133.237788448611,961.86652036939,201.389496556569,931.565960355432,120.188767372978,325.244360902256,30.521565496472,10.963063776745,18.0345324558818,6.00700536805066,3.43745149838847,2.4891940321395,-0.132273918534283,0.387880571689461,0.115273978859108,-127,962,191,-129.621848739496,961.563025210084,200.394957983193,236,65,91,991.657118473816,1292.11278195489,961.028343711395,983497.240601504,1
781171,-190,935,161,-81,990,242,-145,962,202,-139.353383458647,961.248120300752,201.203007518797,-135.662990106425,961.124497193747,199.830866381714,141.02263456143,961.310086656104,201.889272115902,471.563568010937,120.036454773297,278.723627249943,21.7155144542085,10.9561149488903,16.6950180368259,3.13080724368679,2.91814868268437,2.97170711307479,0.230272185368717,0.244499816714403,0.18531627272793,-154,962,191,-139.554621848739,961.100840336134,201,109,55,81,992.289363730564,1301.8045112782,528.372545051553,984763.744360902,1
783250,-245,935,151,-63,1000,242,-127,962,202,-131.954887218045,963.105263157895,199.654135338346,-124.037032506344,962.954999069273,197.771582077166,135.987947276629,963.180598154704,200.551045383741,1088.81613123718,146.216108452951,361.667350193666,32.9972139920507,12.0919852982441,19.0175537384193,3.87286746662036,2.71463341063574,2.51616717509367,-0.694903982390644,0.239700243238725,-0.334103155370649,-118,962,202,-130.428571428571,962.941176470588,200.109243697479,182,65,91,993.114331759175,1294.71428571429,1090.82258195514,986430.308270677,1
785328,-218,935,161,-36,1009,242,-118,962,202,-122.924812030075,964.541353383459,203.466165413534,-111.799173225159,964.343817107223,202.2573610639,128.096269014122,964.640359178689,204.058759781611,1307.97915242652,192.447140578719,243.32649806334,36.1659944205399,13.8725318734079,15.5989261830211,2.81853409392615,3.07344267237175,2.91626651005248,-0.415089608514316,0.200391595981539,-0.0897147885547392,-109,962,212,-121.865546218487,964.310924369748,203.529411764706,182,74,81,994.178500195204,1290.93233082707,1313.08443837737,988579.654135338,1
787406,-245,935,151,-36,990,262,-118,962,202,-120.774436090226,963.90977443609,202.428571428571,-109.418705939435,963.762285117438,199.805148429689,126.260769659016,963.9836363382,203.702071257478,1365.58509911141,143.476646160857,521.125541125541,36.9538238767169,11.9781737406358,22.8281742836684,4.17583266268179,2.90150309327002,2.65629472618152,-0.718929901274428,0.154790022502146,-0.0434644540464995,-109,962,212,-118.840336134454,963.697478991597,202.53781512605,209,55,111,993.258777124735,1287.11278195489,1395.72279708857,986700.766917293,1
789484,-218,935,151,-18,1018,242,-118,962,191,-118.992481203008,966.022556390977,194.533834586466,-95.1820452670156,965.795229826608,192.27777369421,125.911115563942,966.136982613197,195.659920554206,1707.23479152426,222.764638869902,442.72043745728,41.318697844006,14.9253019691362,21.0409229231343,2.83829370147196,3.51360600984119,2.73605000669642,0.2014371111629,0.474646793982996,0.19490774772383,-118,972,202,-119.672268907563,965.571428571429,194.218487394958,200,83,91,993.670838250669,1279.54887218045,1735.25668936498,987557.082706767,1
791562,-209,935,131,-27,990,232,-118,962,202,-114.984962406015,965.308270676692,199.812030075188,-104.426048034895,965.202295604754,197.290032252117,118.841051361564,965.361306003001,200.948484027829,908.484620642515,103.169400774664,458.89621781727,30.1410786244042,10.1572339135546,21.4218630799767,3.51157664910323,3.21365935860813,3.24678299965326,0.15616695200487,0.111816009838674,-0.684594449627237,-109,962,202,-115.361344537815,965.260504201681,200.957983193277,182,55,101,993.14233358775,1280.10526315789,981.500067134633,986425.939849624,1
793640,-172,944,171,-54,990,242,-100,962,202,-102.87969924812,966.248120300752,202.09022556391,-96.549665998989,966.14208975516,200.833700799821,105.959525539857,966.30113692267,202.714436726008,648.061175666438,103.233424470266,254.597858282069,25.4570456979289,10.1603850552165,15.9561229088419,2.73610283141101,2.39608972517452,2.47783833615606,-0.344360573689331,0.0196886792022487,0.0515058962162201,-90,962,202,-102.218487394958,966.310924369748,201.991596638655,118,46,71,992.947874735184,1271.21804511278,648.157097009102,986058.45112782,1
795718,-272,935,131,-18,1018,242,-100,972,191,-110.781954887218,968.142857142857,192.022556390977,-86.8241158499244,967.954170434174,189.180463474139,122.38678979281,968.237694516541,193.398591095163,2726.38391433128,185.032467532467,534.370699475963,52.214786357231,13.6026639866045,23.1164594926637,3.31010259345256,3.54835910840701,2.91219643465364,-0.842382927103032,0.410476232497826,0.00594661906797679,-72,962,191,-107.890756302521,967.949579831933,191.915966386555,254,83,111,994.822771559235,1270.94736842105,2747.46891982704,989865.77443609,1
797796,-209,925,131,-27,1000,232,-127,972,191,-123.187969924812,967.481203007519,187.225563909774,-109.280189354279,967.328599943356,185.545770962289,127.653195595977,967.557295616519,188.012697539529,1128.54773296878,148.357598541809,297.600250626567,33.5938645137588,12.1802134029667,17.2510941863572,3.45977935395731,4.09479342722568,3.6557830612318,0.34218674042378,-0.176507397946785,-0.417972418852828,-145,972,191,-124.067226890756,967.521008403361,187.731092436975,182,75,101,993.818147620478,1277.89473684211,1137.91893506868,987811.233082707,1
799875,-472,824,-10,836,1203,343,-100,962,191,-60.0601503759398,969.210526315789,198.857142857143,0,966.808804920486,205.014220268814,192.782280095441,970.480553004231,204.652097968742,33812.0115060378,2482.12200956938,2356.03246753247,183.880427196692,49.8208993251766,48.5389788472365,12.8599491632394,10.2716350420323,8.04609837450897,2.66043024036455,1.49481470942108,-0.5898076399499,-109,962,191,-81.344537815126,966.285714285714,199.697478991597,1308,379,353,1008.25319162006,1308.26315789474,35088.8077687508,1020879.9924812,1
801953,-1018,444,-404,2681,2101,676,90,981,212,106.345864661654,1005.12781954887,216.248120300752,452.609103083617,954.262139149384,303.04960769531,527.621760169642,1031.84558353984,287.234113729943,269098.576441103,54835.6729323308,36010.9455456824,518.747121862958,234.170179425842,189.76550146347,7.81247754501332,7.49466759978158,4.20034594299438,1.46746127053136,1.26642031938643,-0.411978933340405,81,1018,141,70.1932773109244,990.394957983193,220.823529411765,3699,1657,1080,1143.70863980202,1615.93233082707,279784.454016409,1425593.46616541,1
804031,-954,620,-707,1700,1972,1090,-63,962,212,-9.77443609022556,1002.92481203008,228.548872180451,0,960.071111515913,157.046990873455,496.547448307866,1028.91055238637,308.403102585254,248330.979038505,53198.7367281841,43202.7191843244,498.328184070002,230.648513388194,207.852638146174,4.07184722097362,7.177466057975,9.41059545558313,1.01034178783829,1.65173146647872,-0.476228630564752,-581,953,212,-44.3865546218487,981.848739495798,229.571428571429,2654,1352,1797,1149.21727133032,1645.15789473684,252969.667302108,1400328.76691729,1
806109,-1081,287,-676,1900,2564,737,-36,1009,232,26.0902255639098,1028.54887218045,215.691729323308,-1234.97155907903,913.368398698214,0,551.412417465674,1080.40957494094,298.82679118148,305673.249373433,110200.643426749,43098.5784916837,552.877246206998,331.964822574243,207.601971309725,3.43651622735119,6.9785930042621,6.05497351685693,0.671848246650891,1.11354259658821,-0.917177228486645,-45,935,222,-2,1011.35294117647,224.773109243697,2981,2277,1413,1189.76270108819,1718.31578947368,333691.722221302,1560637.95488722,1
808187,-700,407,-626,2672,1990,828,-90,981,252,-8.92481203007519,1015.62406015038,232.360902255639,-758.385538130394,955.224057641425,0,495.425123133233,1049.35316990419,311.681348748838,247225.236728184,70177.4939621783,43480.5960355434,497.217494390718,264.910350802263,208.520013513196,8.24894230707165,6.31494735349907,5.93556161172577,1.62263487601391,1.39775935764337,-0.700151966024788,36,972,313,-47.7142857142857,994.016806722689,238.470588235294,3372,1583,1454,1157.63113741716,1660.21804511278,260212.948849319,1443733.39097744,1
810265,-1054,500,-414,1645,1972,808,27,953,242,74.2105263157895,1026.03007518797,233.390977443609,0,979.656997613265,356.125885703097,509.922373570399,1052.2404953956,310.726688889078,256441.758373206,54885.0142401458,42398.5126452495,506.400788282567,234.275509262376,205.908991171463,3.07918123624639,5.80318932474671,3.93897951701084,0.328650229307606,1.31993005283375,-0.0862817336995903,-400,953,222,63.9243697478992,1010.55462184874,234.789915966387,2699,1472,1222,1174.26130623449,1697.42105263158,270033.264969331,1463781.96240602,1
812343,-936,564,-525,1290,1916,646,-9,944,232,35.1729323308271,996.112781954887,209.330827067669,-396.133938120444,954.408277995311,0,435.138090604278,1019.17755062562,279.415407457807,189533.083504215,46834.3432444748,34513.0715424926,435.353974949368,216.412437822956,185.77694028725,3.22653954352258,5.47105189601048,4.74696444827105,0.484703889242699,1.1423304000328,-0.847595507427957,136,935,313,19.9159663865546,983.806722689076,217.151260504202,2226,1352,1171,1118.26283200186,1579.81954887218,193145.470626571,1306141.0075188,1
