A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54
670000,-145,971,-126,-87,1038,-58,-116,1009,-87,-114.221804511278,1005.95488721805,-90.5789473684211,-113.359726352269,1005.83188563449,-88.5844496341279,114.652351280448,1006.0162034002,91.5070152206183,98.9128812597531,123.831919421195,169.625819265144,9.94549552610392,11.1279791256631,13.0240477296862,2.78976705051719,3.30853742311589,2.83068998229189,-0.164420973764654,-0.244271647982854,0.176989523651776,-116,1009,-87,-114.070833333333,1006.15,-90.625,0.91829583405449,0.91829583405449,0.91829583405449,58,67,68,901.374058382191,1073.53666666667,195.907420626661,916447.403333333,0,288.97505753477,0,317.062147971215,0,406.004399061301,1
674156,-155,980,-126,-87,1028,-58,-116,1009,-87,-116.12030075188,1006.20676691729,-91.312030075188,-115.183293822305,1006.12023950034,-89.5602813174133,116.582217914374,1006.24992224349,92.1486825692485,107.894907079018,87.1759540360334,154.072081146262,10.3872473292503,9.33680641525963,12.4125775383786,3.21959584081059,3.28738339239729,2.87052814758303,-0.0569857405440685,-0.247440228753673,0.0462770118529758,-116,1009,-97,-116.091666666667,1006.45416666667,-91.3291666666667,0.91829583405449,0.91829583405449,0.91829583405449,68,48,68,901.842090214225,1076.09333333333,174.027069089888,917364.573333333,0,400.49831662452,0,181.667382930721,0,394.866036555503,1
678312,-145,971,-126,-87,1028,-48,-116,1009,-97,-118.488721804511,1005.35714285714,-92.8759398496241,-117.605655024003,1005.25499541761,-90.9512251122786,118.907843256742,1005.40811112941,93.7204890895687,99.8734572279759,102.871967654987,158.184551000142,9.99367085849718,10.142581902799,12.5771439921845,2.93411258258537,2.74263446439968,3.65863503469539,0.425611654970745,-0.185194160808033,0.476943481475043,-126,1009,-97,-118.8,1005.50416666667,-93.1791666666667,0.91829583405449,0.91829583405449,0.91829583405449,58,57,78,901.463928258641,1078.82666666667,177.207845247418,916607.693333333,0,333.426113160293,0,211.062345266788,0,375.232590971892,1
682468,-621,514,-524,378,1485,203,-116,1000,-97,-136.022556390977,996.541353383459,-110.687969924812,0,976.38932216837,0,191.350011935378,1005.94493787936,138.447799668621,18181.0409987232,18901.6077174067,6942.06453397646,134.837090589805,137.48311793601,83.3190526468974,5.37920086264,5.68281119720008,7.44469480006988,-0.267034803344209,0.207562171328515,-0.895515455898156,-106,1009,-77,-133.370833333333,995.229166666667,-107.116666666667,0.959584825656386,0.959584825656386,0.959584825656386,999,971,727,908.764364376265,1125.07,22355.1250281624,946700.95,0.708275431060642,114621.571118183,8.83834464759665,130885.594944693,1.95657115438705,27327.8200629939,1
686625,-912,323,-902,708,1628,466,-194,995,-126,-177.718045112782,990.12030075188,-128.875939849624,0,916.670925778958,0,339.210255953975,1020.95155379086,206.698092646641,83794.9126542772,62237.8420768903,26213.6411547737,289.473509417144,249.47513318343,161.906272746839,2.9545193078561,2.67130975840272,7.21986560277509,0.16474756491767,-0.0855839185237245,-0.48998371173464,77,866,-106,-182.283333333333,991.916666666667,-128.395833333333,0.998980273714019,0.998980273714019,0.998980273714019,1620,1305,1368,949.048437915193,1260.99333333333,104060.67068868,1064115.06666667,1.01650943703151,520983.60536962,15.1939434442214,366006.433385153,5.84003288327695,53484.5444359907,1
690781,-961,428,-436,330,1619,194,-116,1000,-126,-140.432330827068,994.947368421053,-133.718045112782,0,975.955522434211,0,207.312384608421,1003.61154978266,154.538009048265,23344.948233792,17381.2198609732,6024.12774861686,152.790537121223,131.837854431014,77.6152546128456,7.52859327422798,8.14111379126003,7.84916281083615,-0.888635604805632,0.430948807181548,-0.633359698604895,-116,1000,-116,-136.466666666667,991.879166666667,-131.033333333333,0.962980768435261,0.962980768435261,0.962980768435261,1291,1191,630,910.972722061919,1151.64,25978.7509265739,952365.62,3.55546057819447,134348.993672665,3.98079388570055,98254.5230511798,4.44868008110416,17853.2699437573,2
694937,-174,914,-213,-19,1123,-77,-106,1000,-126,-103.56015037594,1001.25187969925,-126.101503759398,-97.3817684253747,1000.83882980234,-122.474466256864,105.805059077134,1001.46189571617,127.839022952593,471.779387147113,422.189147396793,442.891544899985,21.7204831241645,20.5472418440236,21.0449885934867,4.24064475683562,12.9923269954317,3.52389616712988,0.0697561278604035,1.04699360623163,-0.158656349567556,-97,1009,-126,-103.516666666667,1001.13333333333,-125.929166666667,0.91829583405449,0.91829583405449,0.91829583405449,155,209,136,899.889622079132,1091.41,636.396656276515,913677.596666667,0,2783.81641313056,0,2334.11545895175,0,1838.07988563183,2
699093,-844,552,-669,242,1533,77,-116,1000,-135,-132.977443609023,992.345864661654,-155.951127819549,0,977.20118460922,0,186.170489411774,1000.00427066757,173.941168431134,17040.5126968364,15315.8044545326,5957.17118740246,130.539314755504,123.757037999996,77.1827130088238,9.42594018652652,7.14300740906904,12.5275381631983,-1.28929680959788,0.806803029834417,-1.99236354647126,-106,1000,-135,-127.125,987.1375,-151.316666666667,0.949452015387949,0.949452015387949,0.949452015387949,1086,981,746,908.031808662467,1154.09666666667,18443.6248032351,944232.19,2.22813252883268,94979.713460311,6.07442729999462,84839.7599539001,1.39279110139023,23349.0515495769,1
703250,-601,742,-339,213,1352,67,-97,1000,-116,-117.281954887218,999.398496240602,-128.176691729323,0,995.782655379015,0,143.582558578051,1001.2416689787,139.260601167717,6886.78435239039,3701.44060150376,2975.4365867499,82.9866516518795,60.8394658219791,54.5475626105319,10.4678559303228,14.0723027678681,5.42599281209176,-1.25813189563549,1.04034237515749,-0.778509367129786,-87,1009,-97,-112.833333333333,998.233333333333,-125.925,0.930320524843581,0.930320524843581,0.930320524843581,814,610,406,903.719092775395,1109.89333333333,6930.60677779412,924344.986666667,1.42812313218012,38091.0047427276,4.78238601267592,22675.3803990404,0.599472407860892,14706.5086045121,1
707406,-126,971,-174,-38,1047,-58,-77,1009,-106,-82.3947368421053,1006.54135338346,-107.093984962406,-77.4185407410275,1006.37382846167,-103.381301200738,84.7489215226254,1006.62517383657,108.861555867371,394.971896722938,169.381302312385,383.157171229961,19.8738998871117,13.0146572107138,19.5744009162467,2.41650198666969,3.2813800492535,2.85497293073111,-0.2062817813579,0.0860608957772084,-0.130135433572955,-67,1009,-106,-82.2291666666667,1006.57083333333,-107.083333333333,0.91829583405449,0.91829583405449,0.91829583405449,88,76,116,900.816062353108,1060.48,604.548946006982,915330.346666667,0,2523.71480386607,0,623.440137140988,0,1807.64161797382,1
711562,-320,704,-262,233,1161,48,-97,1000,-135,-98.0751879699248,1000.05263157895,-133.176691729323,0,998.321091974758,0,112.620194772859,1000.80382730677,138.299215226735,3076.13017449284,1508.70665342602,1395.88941693857,55.4628720361003,38.8420732379982,37.36160351134,14.9109898567996,25.6928792302408,9.42640763370063,0.536735800203643,-2.67344446956162,0.653284498590084,-97,1000,-135,-96.4291666666667,1001.1875,-133.483333333333,0.927996260111057,0.927996260111057,0.927996260111057,553,457,310,900.763534098473,1096.39666666667,3789.79730846734,916297.543333333,1.11220644986361,15942.9978203952,8.20481585627815,6366.81753488755,0.5778790629322,7304.61946743398,1
715718,-116,971,-145,-48,1047,-67,-77,1009,-106,-79.6015037593985,1008.12781954887,-104.943609022556,-78.0921534627683,1008.02025701734,-103.339630966159,80.3179302821732,1008.18162449527,105.737990128388,115.002865654703,108.896808057881,167.993034472975,10.7239389057707,10.4353633409614,12.9612126929919,3.14861080625685,3.87292603706455,2.68331477020817,0.0395755109733869,0.0748626409169245,-0.168092274345411,-77,1009,-106,-79.7958333333333,1008.11666666667,-104.870833333333,0.91829583405449,0.91829583405449,0.91829583405449,68,76,78,901.589786340157,1057.50333333333,180.741622145841,916868.023333333,0,438.431582844462,0,218.072455119822,0,351.123678706954,1
719875,-106,971,-135,-48,1038,-58,-77,1009,-97,-76.8383458646616,1009.22556390977,-96.9774436090226,-75.5725809666994,1009.11757885307,-95.3053159023575,77.4477995435334,1009.27943849184,97.7843645727026,94.3850900837003,109.1564760959,157.750432685488,9.71519892146837,10.4477976672551,12.5598739120059,2.88415151566603,3.66862693987291,3.35708546825492,0.0184380963689306,-0.181440374121597,-0.0719280069929824,-77,1009,-97,-76.7708333333333,1009.32916666667,-96.9125,0.91829583405449,0.91829583405449,0.91829583405449,58,67,77,901.653574145956,1048.96333333333,167.64233910622,916995.036666667,0,335.567131089708,0,284.739856165857,0,297.150685823166,1
724031,-106,980,-135,-48,1028,-77,-77,1009,-106,-81.7631578947368,1006.25187969925,-108.270676691729,-80.151995603214,1006.13292234299,-106.910126496802,82.5430168097832,1006.31124761063,108.919125684379,128.619165839126,119.932543623209,141.36796708753,11.3410390105636,10.9513717690164,11.8898262008967,2.6490199294135,2.62623718522751,2.89473242475855,-0.0494740820889853,-0.151228017181725,0.182880700084513,-77,1000,-106,-81.6666666666667,1006.3625,-108.483333333333,0.91829583405449,0.91829583405449,0.91829583405449,58,48,58,900.398622213012,1060.70666666667,149.136151874115,914453.96,0,440.086903365442,0,223.921356273795,0,269.031642441114,1
