Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
0.258938652615732,0.387096774193548,0.70380127963869,0.561290322580645,0.65525028227324,0.548387096774194,0.617990214527663,0.458064516129032,0.594655626646594,0.406451612903226,0.57997741814076,0.393548387096774,0.571697403086187,0.387096774193548,0.560406473466315,0.348387096774194,0.541588257433195,0.335483870967742
0.741061347384268,0.612903225806452,0.29619872036131,0.438709677419355,0.344749717726759,0.451612903225806,0.382009785472337,0.541935483870968,0.405344373353406,0.593548387096774,0.42002258185924,0.606451612903226,0.428302596913813,0.612903225806452,0.439593526533685,0.651612903225806,0.458411742566805,0.664516129032258
0,0,0.574115876598947,0.545454545454545,0.566591422121896,0.532467532467532,0.559819413092551,0.493506493506494,0.5522949586155,0.480519480519481,0.547027840481565,0.480519480519481,0.5372460496614,0.454545454545455,0.531978931527464,0.441558441558442,0.527464258841234,0.415584415584416
0,0,0.425884123401053,0.454545454545455,0.433408577878104,0.467532467532468,0.440180586907449,0.506493506493506,0.4477050413845,0.519480519480519,0.452972159518435,0.519480519480519,0.4627539503386,0.545454545454545,0.468021068472536,0.558441558441558,0.472535741158766,0.584415584415584
0,0,0,0,0.558086560364465,0.5,0.555808656036446,0.5,0.552391799544419,0.48,0.548974943052392,0.46,0.547835990888383,0.46,0.545558086560364,0.46,0.543280182232346,0.42
0,0,0,0,0.441913439635535,0.5,0.444191343963554,0.5,0.447608200455581,0.52,0.451025056947608,0.54,0.452164009111617,0.54,0.454441913439636,0.54,0.456719817767654,0.58
0,0,0,0,0,0,0.540090771558245,0.583333333333333,0.537065052950076,0.5,0.535552193645991,0.472222222222222,0.534039334341906,0.472222222222222,0.526475037821483,0.472222222222222,0.524962178517398,0.444444444444444
0,0,0,0,0,0,0.459909228441755,0.416666666666667,0.462934947049924,0.5,0.464447806354009,0.527777777777778,0.465960665658094,0.527777777777778,0.473524962178517,0.527777777777778,0.475037821482602,0.555555555555556
0,0,0,0,0,0,0,0,0.529190207156309,0.5,0.527306967984934,0.5,0.527306967984934,0.5,0.527306967984934,0.464285714285714,0.527306967984934,0.464285714285714
0,0,0,0,0,0,0,0,0.470809792843691,0.5,0.472693032015066,0.5,0.472693032015066,0.5,0.472693032015066,0.535714285714286,0.472693032015066,0.535714285714286
0,0,0,0,0,0,0,0,0,0,0.540909090909091,0.583333333333333,0.538636363636364,0.583333333333333,0.536363636363636,0.541666666666667,0.536363636363636,0.541666666666667
0,0,0,0,0,0,0,0,0,0,0.459090909090909,0.416666666666667,0.461363636363636,0.416666666666667,0.463636363636364,0.458333333333333,0.463636363636364,0.458333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0.532981530343008,0.578947368421053,0.530343007915567,0.526315789473684,0.530343007915567,0.526315789473684
0,0,0,0,0,0,0,0,0,0,0,0,0.467018469656992,0.421052631578947,0.469656992084433,0.473684210526316,0.469656992084433,0.473684210526316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530120481927711,0.75,0.524096385542169,0.75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469879518072289,0.25,0.475903614457831,0.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522033898305085,0.571428571428571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477966101694915,0.428571428571429
