B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
600000,50,1019,19,-272,953,-50,300,961,-19,1
600031,50,1029,19,-263,953,-40,300,971,0,1
600062,50,1029,0,-281,962,-70,310,952,-19,1
600093,60,1029,19,-254,953,-40,300,971,-19,1
600125,40,1049,29,-245,953,-30,310,971,-9,1
600156,40,1049,9,-254,953,-50,310,971,-19,1
600187,40,1058,19,-263,962,-50,291,980,29,1
600218,50,1039,0,-254,953,-50,300,971,0,1
600250,40,1039,0,-272,953,-60,310,952,-19,1
600281,50,1039,9,-254,962,-40,281,971,-9,1
600312,50,1029,0,-245,972,-30,271,980,-19,1
600343,50,1039,0,-254,944,-60,271,971,-19,1
600375,40,1039,19,-254,962,-50,271,980,-19,1
600406,30,1029,9,-254,935,-50,262,971,-19,1
600437,40,1029,0,-272,953,-50,271,980,-29,1
600468,40,1029,-9,-272,953,-50,252,990,-19,1
600500,40,1029,0,-263,944,-70,242,980,-48,1
600531,50,1029,-9,-272,953,-70,262,971,-29,1
600562,40,1039,0,-272,953,-50,242,980,-48,1
600593,20,1049,0,-254,962,-50,252,990,-58,1
600625,40,1049,19,-263,962,-70,262,990,-48,1
600656,90,1127,49,-272,962,-60,262,1009,-48,1
600687,30,1098,69,-245,981,-40,281,990,-48,1
600718,-70,1058,89,-481,907,-131,339,990,-67,1
600750,60,950,445,-600,861,-202,291,866,-135,1
600781,90,1019,455,-272,962,-60,184,857,-145,1
600812,-20,1039,316,-181,898,-10,97,990,-106,1
600843,181,1000,49,9,787,444,77,1095,-174,1
600875,10,696,-9,9,1018,262,58,971,-135,1
600906,171,794,-425,-81,1194,-212,126,990,-165,1
600937,-70,1794,-752,-881,1083,-636,427,1133,135,1
600968,353,1000,198,-54,703,-212,349,1104,-233,1
601000,20,1058,19,127,1083,303,300,809,-58,1
601031,90,1049,178,-718,907,111,339,923,194,1
601062,30,1049,89,-354,898,20,417,980,135,1
601093,-10,1039,99,-454,879,70,310,914,97,1
601125,40,1068,148,-427,898,111,213,971,38,1
601156,80,1068,118,-254,925,141,291,1114,-29,1
601187,181,1009,59,-100,1064,60,223,971,9,1
