B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
500000,151,1019,207,-127,953,222,320,933,-203,1
500031,141,1029,188,-118,953,212,310,952,-184,1
500062,151,1000,178,-127,953,232,330,942,-194,1
500093,141,1019,188,-118,962,222,320,933,-194,1
500125,141,1009,188,-127,962,222,320,933,-194,1
500156,141,1009,188,-127,962,222,330,923,-203,1
500187,131,1000,188,-127,953,212,330,933,-174,1
500218,111,1019,207,-127,953,222,320,933,-203,1
500250,151,980,198,-154,953,242,330,923,-174,1
500281,141,1019,188,-118,962,232,330,942,-194,1
500312,161,1019,188,-127,962,242,330,933,-184,1
500343,121,1009,198,-118,953,222,330,933,-184,1
500375,141,1019,198,-118,972,232,330,914,-203,1
500406,151,1019,178,-118,953,232,349,923,-194,1
500437,151,1000,188,-127,953,212,330,933,-184,1
500468,141,1029,188,-118,962,222,330,933,-184,1
500500,161,1009,198,-127,962,232,330,933,-184,1
500531,151,1019,188,-118,962,232,330,942,-194,1
500562,171,1000,178,-118,962,212,330,933,-194,1
500593,141,1019,198,-118,944,212,330,942,-213,1
500625,151,1019,198,-109,944,232,320,933,-213,1
500656,131,1019,188,-127,953,232,330,933,-213,1
500687,141,1019,188,-118,953,212,339,933,-203,1
500718,161,1000,198,-109,953,232,310,933,-194,1
500750,141,1009,198,-127,972,212,339,923,-213,1
500781,151,1009,198,-127,953,212,330,923,-194,1
500812,151,1009,178,-127,962,222,330,933,-203,1
500843,151,1009,178,-127,972,222,330,933,-194,1
500875,151,1009,188,-136,953,202,339,923,-194,1
500906,151,1019,178,-118,953,232,330,923,-194,1
500937,161,990,198,-118,962,212,330,933,-203,1
500968,131,1019,198,-136,962,202,330,933,-184,1
501000,161,1019,188,-118,962,212,330,923,-194,1
501031,151,1009,178,-118,962,222,330,933,-213,1
501062,141,1009,178,-109,972,212,339,923,-194,1
501093,151,1019,188,-118,962,212,330,923,-203,1
501125,151,1000,168,-118,962,212,330,933,-203,1
501156,141,1009,188,-118,962,222,339,933,-194,1
501187,151,1009,178,-118,953,222,330,914,-213,1
501218,151,1009,188,-109,962,222,339,933,-213,1
501250,141,1009,188,-109,953,202,330,933,-194,1
501281,141,1019,188,-127,962,222,330,933,-194,1
501312,161,1000,188,-127,972,222,310,933,-194,1
501343,141,1019,178,-118,972,212,330,923,-203,1
501375,151,1000,188,-118,953,232,330,923,-184,1
501406,161,1019,188,-109,972,222,330,933,-194,1
501437,151,1019,178,-118,962,202,339,923,-213,1
501468,161,1009,188,-118,962,191,339,923,-203,1
501500,151,1009,198,-118,962,232,339,914,-203,1
501531,161,1009,168,-118,953,202,339,923,-213,1
501562,151,1009,188,-118,962,212,320,923,-184,1
501593,161,1019,188,-127,962,212,359,914,-203,1
501625,151,1009,168,-136,962,202,339,933,-203,1
501656,141,1009,188,-118,962,222,320,933,-213,1
501687,161,1029,178,-109,962,222,339,923,-203,1
501718,151,1019,198,-109,944,222,320,942,-203,1
501750,161,990,198,-118,962,191,330,923,-184,1
501781,151,1029,188,-118,962,222,330,933,-194,1
501812,141,1009,188,-118,972,191,339,933,-213,1
501843,151,1029,188,-118,972,222,310,933,-203,1
501875,131,1009,188,-118,953,212,330,933,-213,1
501906,141,1009,188,-127,962,222,320,933,-194,1
501937,141,1009,178,-118,962,202,339,933,-194,1
501968,171,1019,158,-118,953,202,320,933,-184,1
502000,141,1000,168,-127,962,212,320,933,-213,1
502031,131,1009,178,-118,972,212,339,923,-203,1
502062,131,1029,178,-136,962,232,320,933,-203,1
502093,151,1009,168,-127,962,222,310,933,-194,1
502125,151,1009,188,-118,944,212,339,923,-194,1
502156,151,1009,207,-118,972,202,330,933,-203,1
502187,161,1000,178,-118,962,202,330,933,-194,1
502218,161,1009,178,-118,972,212,339,933,-223,1
502250,151,1000,168,-118,972,222,320,933,-194,1
502281,161,1019,168,-127,972,191,330,923,-203,1
502312,131,1019,188,-127,962,202,330,923,-203,1
502343,141,1019,168,-118,962,202,330,933,-213,1
502375,151,1009,198,-118,944,202,330,923,-194,1
502406,151,1009,178,-109,953,232,339,923,-203,1
502437,151,1019,188,-118,962,212,320,933,-194,1
502468,141,1009,178,-118,953,222,320,933,-203,1
502500,161,1009,188,-127,972,202,330,923,-194,1
502531,161,1009,178,-127,953,212,330,933,-223,1
502562,151,1019,188,-109,962,212,310,933,-184,1
502593,151,1019,198,-136,962,212,339,933,-203,1
502625,141,1009,188,-118,962,202,320,942,-194,1
502656,151,1019,168,-136,962,222,320,933,-194,1
502687,171,1000,168,-109,962,212,320,933,-213,1
502718,151,1009,198,-118,972,202,320,933,-223,1
502750,151,1009,188,-109,953,212,330,942,-213,1
502781,131,1019,168,-118,962,222,330,933,-213,1
502812,141,1009,188,-127,953,212,339,933,-184,1
502843,151,1019,178,-118,962,232,339,923,-194,1
502875,151,1000,168,-127,990,202,320,933,-213,1
502906,151,1009,198,-127,962,212,330,933,-203,1
502937,161,1009,178,-127,953,202,339,933,-194,1
502968,151,1000,188,-118,962,212,330,933,-184,1
503000,141,1009,178,-118,972,202,330,933,-203,1
503031,151,1019,178,-118,972,212,339,933,-203,1
503062,151,1009,188,-127,962,212,330,933,-184,1
503093,151,1009,178,-118,962,202,330,933,-203,1
503125,141,1009,198,-127,962,212,330,933,-203,1
503156,141,1000,178,-127,953,212,330,933,-203,1
503187,151,1029,188,-118,972,212,339,923,-203,1
503218,151,1000,188,-118,962,202,330,933,-203,1
503250,151,1009,168,-127,972,191,310,923,-203,1
503281,141,1029,198,-118,962,212,330,914,-203,1
503312,161,1019,178,-136,962,202,330,933,-213,1
