F1,F2,F3,F4,F5,F6,F7,F8,F9
670000,12.2393479132155,2042.40317885482,69064.340682128,5041.86145912377,669.453905941633,66995.2313852169,397.217021714393,1
671000,12.0383533670301,626.741961486962,12233.0957509645,1152.1589355476,527.911549862565,12008.8847391722,1083.81679282721,1
672000,12.7598989939372,381.204729106282,2638.29303513592,581.66007721557,597.068971651387,2533.72971304659,1141.70608211091,1
673000,15.0534129771231,358.978935386584,940.209802157027,507.339524080635,789.580672460125,967.125461577345,1335.37708060281,1
674000,15.4611145230426,355.240474551389,331.94589039435,471.597577750192,770.433875732671,389.716697909795,1277.94683568244,1
675000,15.0127606337584,316.215027079916,270.72851687843,475.989383023117,591.238823934113,281.481895354382,686.875747559066,1
676000,14.7994682716889,363.263229464298,222.880664797173,516.241861548172,634.519440413947,256.192219078317,738.064416940088,1
677000,13.1565071696479,419.559709754157,256.533533845109,546.275326512285,696.585644471226,251.222594886352,1084.10720952974,1
678000,11.945511825715,457.959925345173,303.658301264708,579.508104584485,712.169235308534,303.975276987061,1097.04950674818,1
679000,11.7503146665686,479.98134799531,314.220627496464,570.719229920508,729.6732289475,287.969894018235,1028.68155662696,1
680000,11.5416552991481,448.519637269047,361.079926482275,517.633555821429,646.345329559902,282.5230945219,897.457294398043,1
681000,12.5164196558331,376.086828260773,366.289708822002,517.211065839179,533.720823319043,311.977233959454,473.429300519513,1
682000,13.271620200311,372.563521492151,354.241558591121,545.02651462882,723.476021770396,290.444707473957,715.602140772486,1
683000,14.466179417681,401.171914289672,352.536916298136,573.419399915817,961.906898314263,321.741383320051,895.557680317424,1
684000,14.6049005961643,471.05497805043,329.44902463029,647.069855902709,1284.83746188981,316.656448476749,1472.5514988492,1
685000,13.1944929997941,465.897455206779,319.853542262208,620.723792300721,1256.48219059381,306.98153799075,1548.51214745835,1
686000,12.9034838695322,415.380591412743,349.258816252238,567.593112614603,1060.74351550021,285.307791139843,1292.2697520667,1
687000,11.732873553859,419.676857635183,343.917305628715,623.764828828998,921.172928146378,276.386719686796,1280.96581735195,1
688000,12.1040273838878,376.557988980774,362.017603653094,557.067385083265,662.53143334038,293.60465915512,949.352353983026,1
689000,13.1714728558595,421.222947090377,366.188725766484,568.154749799583,963.349084604053,296.091193063252,1516.67270700353,1
690000,13.097740946169,424.272717057552,342.433277409178,588.79444079151,1022.32753193359,284.677035367589,1614.12963684312,1
691000,12.9239311391623,385.970235754012,308.405537724365,495.51434106484,1011.530013753,277.368746085811,1640.90429325645,1
692000,12.7702843171777,352.291360098904,299.59391171829,514.105215543529,956.394262174163,276.067359141952,1500.95035738769,1
693000,11.9032031589844,278.364788288015,287.947952304344,488.435259180132,560.250861801025,275.008242888679,780.432806120738,1
694000,11.9738605325748,305.962144586691,285.07696611606,485.468069321789,479.278605456977,284.433355568604,683.968600345225,1
695000,15.9626731625743,519.095494917947,368.815242040322,817.735605814298,1394.05626759995,328.096161331091,1774.30967541193,1
696000,37.0929292796712,271743.297569533,138691.288813111,89279.9334568349,230208.249465348,30460.4370994989,22902.4287435772,1
697000,82.5767274098754,811575.859475962,589002.675901933,261857.21963,1029461.47473855,158605.922522052,53335.500270809,1
698000,121.330689148092,1710321.0774111,1100456.55908861,470840.013262951,1912952.81099134,293338.700203996,98700.1552207114,1
699000,139.94723501133,2753766.14303239,1622265.231938,608200.827258581,2695250.06088545,443332.15851707,138936.02877439,1
700000,158.105473210671,3402917.12814469,1951280.17050115,684775.044130141,3073283.19273055,550156.001692608,150274.128458198,1
701000,164.302934158174,3745261.14369627,2020574.89020501,674948.767050211,3092584.68006511,637042.315876181,165581.102261101,1
702000,161.059324981778,4152236.00853904,2213492.10027771,595838.302469795,3270936.93016703,677024.213952165,153814.616777583,1
703000,161.905253590827,3685706.91652053,2241199.68014339,692965.357263997,3201443.97092336,736244.932539711,140120.387517307,1
704000,154.220228816929,3749526.08630232,2252602.40711517,663635.713561429,3191887.11790526,697361.651874172,152170.323593466,1
705000,134.329886173625,3566702.71046824,1947920.76383483,790485.625212394,2820941.88330075,552151.595273379,141931.174127914,1
706000,137.043717585716,3292131.44507026,1712203.76635345,908584.778981864,2604298.6901867,532464.114920453,180627.581728348,1
707000,145.164019160846,3867083.74003431,1712217.5021248,909624.6834976,2911083.78141926,522004.552233783,197025.986876463,1
708000,164.341611323093,3699605.71861979,1728216.16174545,987599.833715039,3114524.88068469,642008.75913969,198981.505316025,1
709000,186.828001218272,4253121.30522022,2082546.09284819,929393.666639872,3793690.06362064,827936.812493313,211327.149306748,1
710000,187.183903718263,4666230.99234782,2222755.45824225,847115.148226955,3729714.96867862,900555.216935963,189298.556084242,1
711000,189.644873239294,4353229.04907256,2594198.84847525,878663.319406323,3917783.3864858,978916.917307678,186845.329461842,1
712000,183.840819335714,4555390.52074919,2655561.52202519,862222.240470524,4064100.11375818,992155.942635856,182921.506063504,1
713000,176.321264698351,4758741.39979198,2642866.42043146,929563.354867475,4022852.80448129,897086.105516159,192986.965423682,1
714000,160.869067250657,3956337.67567608,2317063.04049927,1180640.56166069,3689487.7853382,753558.536824105,177781.871219532,1
715000,146.415080044399,3714329.57898217,1803930.65743976,1209008.28445777,3221637.17863073,620995.47707735,179737.717264961,1
716000,150.195124405109,4313948.15828183,1733035.55719014,1195326.33660552,3218830.22951296,651031.514186563,182706.578092489,1
717000,152.969911351074,3897425.27374107,1734266.20418989,1090675.5268466,2882385.72069976,703842.873504367,177038.870294364,1
718000,171.595243629666,4444069.48978519,1940196.46854986,888116.314210475,3423679.12136735,783477.981894479,183408.83565598,1
719000,185.802210960434,4802928.88873826,2009197.3992151,765939.133019173,3479374.16218189,914299.886937741,180940.099964574,1
720000,182.080430479146,4013409.10771594,2083186.46082371,740330.183595517,3504797.93931416,831652.297608662,171012.863711599,1
721000,183.450115038165,3784204.61279267,2232176.33920402,824058.504290918,3718166.06630556,875428.91288457,152624.403659909,1
722000,173.173572307371,3453077.15400913,2229913.53043513,714941.983970297,3255981.78235963,908596.009725473,146950.282959478,1
723000,148.848305946253,3092415.54889217,1916174.7139318,740847.690339718,2802456.74837875,699083.334234939,130872.056109759,1
724000,133.599109210107,3077041.01035287,1672526.1003841,863815.943032072,2187104.62976854,560482.62285364,130955.769344887,1
725000,119.843820022773,3021838.88788929,1469225.47952011,759852.557481857,1901885.41250673,530743.485968273,128758.506515153,1
726000,131.307996275484,3003215.34984292,1592459.81902172,846009.193699007,2298320.32808118,512310.918697549,124407.043352651,1
727000,157.097091663249,4354513.23600655,2003390.62331723,1018758.746209,3263084.56881327,708438.352486109,137205.470058241,1
728000,167.634845468154,4702044.43274482,2282600.33718878,984572.057945619,3959808.14786024,876306.389617629,150197.343014504,1
729000,177.891414681654,4952300.12688943,2297688.76458148,1002738.50890545,4123214.48530864,876051.677308663,154596.665160525,1
