F1,F2,F3,F4,F5,F6,F7,F8
750000,17.5609617097344,2841.2966469667,67186.8393382016,7456.62005478353,64556.4362394633,1845.5005993922,1
751000,21.1156343009634,2056.01114835603,11823.6632118411,1997.32708167201,11355.8931332492,1487.69225940499,1
752000,24.8482241876512,2034.79370685433,2494.35570124045,1323.19796429482,2513.83564676646,1612.81514279017,1
753000,23.1096863634788,1893.61793700389,1107.3068811534,996.047151472034,930.018057778716,1332.74685561408,1
754000,19.4458009741027,1599.57477419126,672.092751769365,1067.89077105655,481.244187006781,895.443273370597,1
755000,20.47783164378,1615.78970850164,578.928171728691,1169.12570045152,406.901466966793,1137.06360695086,1
756000,21.2639503956994,1372.68821588034,530.693208979831,794.425148038776,385.676369760968,755.957351246726,1
757000,20.4739669336271,1573.34536971122,517.030812242526,944.635950327515,485.188393494098,955.918480700604,1
758000,21.9707411816451,2462.51659731568,634.475756635356,1059.59428895376,498.017289478803,1647.39830508379,1
759000,22.8556228201682,2747.49117814015,789.308200184852,1112.74332332529,527.849870980927,1414.23708400555,1
760000,21.2450008317744,2439.52945703185,889.374468740992,1665.76357520502,700.451063212613,1034.06956519722,1
761000,23.9668155138345,2164.89143316085,775.203729134151,1511.94160042523,682.297678415256,1109.49606587319,1
762000,24.6888543308901,1283.5827930473,465.744441341184,834.993437475887,402.917844333463,1128.89195652519,1
763000,22.7742390168391,838.504499155381,422.149466696496,682.183861000855,328.810909774716,987.574573807149,1
764000,24.337575827729,924.377101100185,368.379361198695,650.02013037573,366.523641320935,1336.63323027199,1
765000,25.1074867773037,2089.11010730778,378.911274329169,804.708254175028,345.613425779909,1378.30498414014,1
766000,22.7866082123713,1949.78820401332,460.841502215002,803.489480847726,322.106473783557,1214.19590551893,1
767000,21.0327536380627,752.948755224737,392.468198370996,436.585855307041,230.620059591061,1172.12080517588,1
768000,19.8556856103038,985.156488194466,250.977611226616,518.72648392887,150.108581772126,643.564240849983,1
769000,17.9354230046572,947.747483257237,248.18937693771,628.533511973141,180.70297635787,631.727326585764,1
770000,18.8541024699886,716.594959411766,281.606928396731,472.215384464786,186.80928499291,616.920511521111,1
771000,19.1801109782628,1567.61576449536,352.218235940073,678.422701284896,323.005524031369,496.422358730042,1
772000,19.7654761801134,1711.92598228187,514.666046333271,759.438658668109,441.440488627607,683.823467500933,1
773000,22.09208673485,1097.8339693467,432.783137152455,804.045324522539,383.006766582323,1213.05576190915,1
774000,22.5795741488798,1231.89373814192,488.773236670181,951.007425445744,417.558007255604,1142.08450968166,1
775000,19.5260295781953,1022.09902864071,552.112250214292,696.308459314315,358.806393075534,665.098884908141,1
776000,16.6064825813454,649.402683110279,333.410330423952,448.450954826288,243.099058474309,874.804486126685,1
777000,14.5204013935108,653.753279543093,317.051733126938,452.486562536791,229.297472518585,751.55309186958,1
778000,15.6769489092744,701.823910631751,347.436342854958,492.927863641056,214.257485977001,636.277509845905,1
779000,18.3507608540421,623.303963083637,334.138752466329,526.249240021373,215.653341287645,715.820317298176,1
780000,18.6253509911369,689.358277370849,416.735822250825,465.199763816303,257.827968307317,700.279150270132,1
781000,17.2102320425081,632.898267138281,330.160980452551,340.900628795462,258.637005698967,615.201916606857,1
782000,17.2891605737983,695.137503917357,303.060233241293,337.612729004333,276.459894857167,520.497955349883,1
783000,21.7337188653711,713.562800160571,379.101022037699,505.89757127413,237.510132146577,566.272618827137,1
784000,22.3056223504696,845.482789563661,446.255852195116,695.412679795242,272.57649719902,943.290709804993,1
785000,19.0374202687793,1173.68792593686,492.648776462026,608.015245433228,371.476347029697,967.016996501908,1
786000,20.3579773040821,946.726664465166,402.864634128894,450.654422275097,393.292990048573,706.150109774636,1
787000,21.2596030909299,975.056548793669,372.561376570809,397.832592192611,336.931263851258,1091.85094765984,1
788000,21.0018676818381,1502.10440451756,458.802052364598,647.659225546996,317.161688307946,979.927801121828,1
789000,21.9619922150191,1405.64679794875,467.140136676178,948.995056183557,382.128603503086,812.143601415906,1
790000,20.0464297576473,1109.71162493478,452.534904826887,790.36633662109,357.838598802801,828.457870466583,1
791000,21.387294922817,965.384844433777,365.429008245839,609.113430328894,288.677118870973,1044.07368731197,1
792000,21.7512457611609,826.348790875458,196.314355685627,479.754113038676,194.044286140599,963.947098002975,1
793000,20.4828899223782,801.713114010742,243.487755250445,487.390664450775,183.111536469486,569.547294566201,1
794000,22.3874138895155,949.941874685352,341.928410982615,569.613455675285,219.649017824589,714.619135609865,1
795000,21.5474043461272,2008.95024700226,488.559132514587,788.501049186792,309.268003929505,1329.53924787988,1
796000,20.9439078046393,2049.85838096331,556.284447233612,909.350376776109,403.454379599374,1517.43858522084,1
797000,19.4937369176682,977.222016835872,403.937620693503,732.221816298336,324.312998145,962.316727335755,1
798000,16.7301385559235,717.319013587295,322.676616530545,578.624873831246,266.71435771438,650.086386828405,1
799000,14.8744286174864,685.874087173454,337.152861579935,378.336912347995,273.108809117451,397.667427822021,1
800000,31.5221595734898,26204.788942423,28591.6279185892,3427.87591778233,3836.02410343314,3105.63354160603,1
801000,81.105239704345,213727.80312234,86211.4609363171,27829.7304593217,23614.8206523923,13829.5633284022,1
802000,132.95774300714,1040350.37356201,401030.839021451,98899.0676946106,107530.499595908,52312.4121361165,1
803000,145.428404956918,1486276.07833558,584073.405016201,153654.89634623,156315.3636232,74478.5691811306,1
804000,134.60091280801,1244117.7546775,589388.313552917,173139.067320831,111598.025477372,63330.1617100913,1
805000,151.652999432392,1201945.85035235,729071.395899463,239125.298072816,172310.261924433,101458.896586179,1
806000,142.335177155689,1267108.0695725,588656.592468015,348757.527050065,200551.270943231,94000.5389243661,1
807000,111.771694885211,1037983.97524388,499356.967701963,315716.773080773,115380.020732386,89832.4835766617,1
808000,119.246009003996,795775.029789807,633417.879367526,247917.970480608,133434.381848636,101498.288518448,1
809000,124.807989721699,726701.833628762,557370.938377205,188830.766722409,148665.788773829,89815.5000036287,1
810000,124.581784703356,877787.911609475,466080.429819382,151442.556758838,129020.579976947,85174.980388549,1
811000,128.862378849647,1267965.43733314,521052.998825259,247266.811488432,114460.241576615,71529.5641744406,1
812000,145.417957327504,1085956.67410352,434541.69013255,264417.390092697,109895.771212363,96125.736570023,1
813000,130.457618681768,786749.952487459,365256.874852928,243457.889899864,122271.931987338,78921.2911971207,1
814000,94.0481619503194,536232.230295593,320361.993395641,188356.707853989,82827.9766403906,62493.0739801056,1
815000,94.7780690445514,175401.191558104,140581.512851115,96622.5134079489,42814.1400192974,56628.8195368945,1
816000,91.5101681230109,150606.42654755,99189.2195501493,76536.4406307614,37630.9801663495,33325.5493260916,1
817000,90.269091067493,251581.010261991,261882.076613878,59730.3362861113,73548.7068634227,32849.3868872435,1
818000,110.784356264697,1297982.30678765,557016.721498218,143298.525041486,137537.986391459,57955.130961334,1
819000,132.064851563589,2050120.59634687,703552.177676417,199561.366602954,141938.320275404,88066.882113449,1
820000,155.203864371299,1984765.8679944,806307.802285864,312402.879677308,173484.802983637,103269.23881609,1
821000,157.831045858816,1721450.33854477,656275.256028909,299843.583416339,160130.848688269,105227.92031574,1
822000,138.132130817493,1230736.37954158,531588.751205603,215439.904896471,135273.30731622,136592.080838338,1
823000,120.699850879729,925479.35177973,549266.271961006,250957.091657527,119345.848677335,140324.29965928,1
824000,120.183288895748,923734.508150366,383428.486037716,127571.205865665,97011.0950917103,102751.334477803,1
825000,128.784377103467,1097583.09463338,379753.088279961,72134.366139135,129868.459915688,75368.6951753331,1
