F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
620000,620000,36.9081928817877,1437.74762640732,66846.4000670718,6912.40070715093,9095.11551075139,61932.3419927042,5946.13315759265,10921.2219608634,68107.3124454452,1
621000,621000,32.0103335547819,1445.78841003017,11675.212323092,1626.67662517979,7304.86299977632,14209.860687767,2828.80833705854,13876.1943726885,12814.1302382077,1
622000,622000,28.8966444961041,1033.86668778823,2638.0680018071,709.434447167607,5087.62126284182,5667.69103241392,2250.50919991728,13983.0666482164,3348.87392500806,1
623000,623000,25.3077404199121,650.814759322567,1101.15067540691,496.256648366524,3169.11876583975,3111.57884116573,1652.46664683463,9879.80828502727,1560.81235823894,1
624000,624000,25.8496667042754,715.94974631315,668.932142832504,389.369562254399,3705.1914804112,2230.86854840845,1259.68959807517,7029.09057083036,1067.67541421164,1
625000,625000,29.1048376272335,874.085216873978,574.422963177006,364.983778756464,7139.32668492288,2934.60772804703,2189.37609901816,8722.23595713633,1264.79378129676,1
626000,626000,29.638485475902,1155.17385019938,636.154743185159,434.861701759726,8942.37761104778,3268.96563401212,2678.68822697888,13094.6628506762,1122.08255880074,1
627000,627000,32.092032359607,1576.78554138973,888.359131650307,492.312833344085,7133.42622360044,3063.31446412398,2183.62564248785,16564.3589091559,969.409929022922,1
628000,628000,31.5631042430674,2000.29877135628,855.974516769468,553.922291688675,9285.12224646539,3974.15540283244,1996.93024891731,18161.8414697426,2080.21712956467,1
629000,629000,28.8988506224556,1828.24597608312,521.963597937089,524.509417290207,10968.0017680438,4445.69022199528,2792.22247241697,22160.157680847,2309.71311246299,1
630000,630000,31.2921019487678,2466.70073214288,461.619121682328,637.287072227051,15042.4311028059,5163.18561073978,2985.49090100913,24807.4936503228,2361.77002799671,1
631000,631000,33.6111709807615,3223.48328919663,642.987222295525,690.043140048514,20210.9254363678,6138.48252827265,3091.16722052389,26013.4417290043,3241.80209704001,1
632000,632000,34.6538951772839,3315.65766922256,712.938831281741,609.274045460198,21648.3874534684,6064.8930818193,3610.67359230169,30303.2381240618,2969.73785695287,1
633000,633000,34.0038904134194,3421.21494668635,603.494534860097,636.043833233712,22290.6718829334,5870.053952658,2883.18540955255,28656.4078583092,2408.17190909894,1
