A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45
750000,-106,933,-38,38,1057,97,-19,1019,9,-23.9323308270677,1017.63909774436,11.218045112782,0,1017.27001655522,0,39.0897367450459,1017.82139443885,23.0269538042651,962.487810435179,373.868762816131,407.45967190704,31.0239876617301,19.3356862514919,20.1856303321705,2.49292903498067,4.60645470156032,4.63541093920712,-0.11914447057083,-0.572911134714497,0.457276687710622,-38,1019,9,-23.4957983193277,1018.10084033613,10.9075630252101,144,124,135,1018.6548901628,1066.54887218045,973.538362541318,1038018.63909774,1
752078,-106,961,-38,48,1066,87,-19,1019,19,-23.1954887218045,1018.01503759398,17.7593984962406,0,1017.63939148571,0,35.9407407005652,1018.20283220918,30.5032969991696,759.416040100251,385.287650945545,619.714399635452,27.5575042429508,19.628745526537,24.8940635420466,3.26701912620949,2.89837847783843,3.23457677553765,-0.373246016300421,0.033591800477735,0.153391731539052,-19,1028,9,-22.5210084033613,1017.87394957983,17.4789915966387,154,105,125,1019.11028863955,1070.60902255639,791.073623138184,1038959.19548872,1
754156,-106,942,-67,19,1076,38,-38,1019,-9,-39.796992481203,1018.48120300752,-7.26315789473684,0,1018.02625148685,0,45.6603182386428,1018.70592390468,23.4514375851893,504.859990886307,461.2666894509,500.983253588517,22.4690896764045,21.4771201386708,22.3826551952291,2.98697915218589,3.59028640689296,2.86652081565249,0.242516158156972,-0.521836725989136,-0.16091904168561,-38,1028,-9,-40.0084033613445,1019.19327731092,-7.04201680672269,125,134,105,1019.77208673588,1077.12030075188,685.836126159969,1040396.59398496,1
756234,-106,961,-67,9,1104,38,-48,1019,-19,-47.1052631578947,1017.52631578947,-15.0601503759399,0,1016.90889975391,0,52.3297094989128,1017.83771621087,25.804207851766,523.428229665072,638.614832535885,442.375142401458,22.8785539242556,25.2708296764448,21.0327160015405,3.22510968870842,3.80379298491978,3.12003902411104,0.503159304412841,0.42196062926845,-0.00402664477845723,-48,1009,-19,-47.9159663865546,1017.01680672269,-15.0588235294118,115,143,105,1019.18650794212,1086.18796992481,927.105248625557,1039397.87218045,1
758312,-97,933,-77,9,1085,58,-38,1019,-19,-40.2631578947368,1017.1954887218,-14.9172932330827,0,1016.57678234316,0,48.8307649850231,1017.50478005934,27.1772239892046,769.104465709729,634.082706766918,519.985532011848,27.7327327486804,25.1809989231348,22.8031912681503,2.3409495231589,3.59545147239093,3.47075859412629,-0.197203208671138,0.0627382134915224,0.273513752943568,-19,1019,-19,-39.9075630252101,1016.95798319328,-15.2941176470588,106,152,135,1018.72861400406,1080.72180451128,794.284967314175,1038439.02255639,1
760390,-97,933,-87,19,1123,48,-48,1009,-19,-43.4436090225564,1014.78195488722,-18.6992481203008,0,1013.55745396598,0,48.3584672356709,1015.40207969978,28.9241944149944,454.612326270221,1268.50512645249,490.63613579403,21.3216398588434,35.61607960532,22.1503078035957,2.61152280160741,3.35331053037806,3.21479069389548,0.225208534116399,0.450709151713224,-0.0818292002835257,-58,1000,-29,-43.8655462184874,1013.55462184874,-18.5378151260504,116,190,135,1016.3409265228,1081.58646616541,1362.82638548832,1034216.53383459,1
762468,-126,942,-106,9,1104,38,-67,1009,-19,-66.1954887218045,1014.82706766917,-22.1654135338346,0,1014.11825552989,0,72.853442335626,1015.18400124853,34.1839341413983,932.794827979039,730.068352699931,682.366370471633,30.5416899987384,27.0197770660665,26.122143297816,2.52425976463115,3.92583818030022,3.25825100433481,0.0619602472827073,0.349589804912487,-0.203772847898538,-67,1019,-9,-66.5126050420168,1014.23529411765,-21.9159663865546,135,162,144,1018.02214788787,1108.42105263158,1037.30924714251,1037074.72180451,1
764546,-174,952,-87,0,1085,48,-87,1019,-19,-78.2481203007519,1014.12030075188,-14.1804511278195,0,1013.57114297143,0,83.8380554931481,1014.39601645289,27.0396534212785,912.915242652085,563.530872636136,534.073251310093,30.2144872975215,23.7388052065839,23.1100249093352,3.01225734532529,3.40437375015263,4.15724611917655,-0.0304779279714162,0.238028142311985,-0.347675873287502,-87,1019,-19,-78.2016806722689,1013.8487394958,-13.4957983193277,174,133,135,1017.9483873153,1113.1954887218,993.275201264618,1036759.2406015,1
766625,-126,961,-77,0,1057,48,-67,1019,-9,-61.4360902255639,1017.08270676692,-10.0751879699248,0,1016.71916236422,0,66.0342244369727,1017.26367450069,25.9162909255616,590.565960355434,370.940077466393,574.464000911369,24.3015629200147,19.2598047099755,23.967978657187,3.06017732601137,3.41985713971434,3.12474520753467,0.251687828391738,-0.184364535579537,-0.00588171618849005,-67,1019,-19,-61.9243697478992,1017.3025210084,-10.1932773109244,126,96,125,1019.55022159641,1098.92481203008,713.288450621421,1039857.55639098,1
768703,-106,971,-77,-9,1047,38,-58,1019,-9,-61.8721804511278,1016.52631578947,-10.7443609022556,-52.548523520965,1016.31140517982,0,64.7196963662868,1016.6335275424,22.6763763664476,363.20323536113,219.629984051037,401.797789929369,19.057891681955,14.8199184900267,20.0448943606438,3.02238537664813,3.06140691889087,3.29204434138798,0.137631346487078,-0.122470637028531,-0.351256140545981,-58,1019,-9,-62.0084033613445,1016.61344537815,-10.1344537815126,97,76,115,1018.83694509599,1095.90977443609,406.727108553043,1038246.58646617,1
