A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,A100,A101,A102,A103,A104,A105,A106,A107,A108,A109,A110,A111,A112,A113,A114,A115,A116,A117,A118,A119,A120,A121,A122,A123,A124,A125,A126,A127,A128,A129,A130,A131,A132,A133,A134,A135,A136,A137,A138,A139,A140,A141,A142,A143,A144,A145,A146,A147,A148,A149,A150,A151,A152,A153,A154,A155,A156,A157,A158
740000,-191,980,69,45,944,-101,-67,980,-106,-20,1058,217,290,1000,101,97,1047,9,-80,1029,118,145,972,-40,0,1019,-77,-97.2866666666667,1028.39666666667,127.766666666667,138.883333333333,975.513333333333,-23.8966666666667,-3.15333333333333,1014.38333333333,-71.8566666666667,-83.68129509303,1028.23191112958,122.401774806421,134.839676269716,975.399246187281,0,0,1014.27158894757,0,104.641387605479,1028.47848624396,130.88592997976,140.948584006131,975.570205913786,48.452829294755,19.0677738606267,1014.43902560315,74.0595031039231,1490.09146042363,168.855507246377,809.503901895206,579.85590858417,111.334269788183,1782.56788182832,354.819219620959,113.367614269788,322.504470457079,38.601702817669,12.9944413980123,28.4517820513093,24.0801974365695,10.5515055697366,42.2204675699869,18.8366456573605,10.6474228933479,17.9584094634541,2.78372190764543,3.49080466272861,3.55714298188768,13.1725136901523,2.95929123364519,3.4361965079158,9.9103657088366,4.09176605604982,5.9327437333466,-0.901665823338273,-0.505525502180229,1.10182404668922,1.65129941892152,-0.254385719296557,1.12363873474385,0.846400320729876,-0.272872232972943,1.31953112075432,-80,1029,108,145,972,-50,0,1019,-77,-95.337037037037,1028.81481481481,125.848148148148,137.933333333333,975.803703703704,-26.8148148148148,-3.26666666666667,1014.46666666667,-73.3259259259259,0.963836838510288,0.963836838510288,0.963836838510288,0.963836838510288,0.963836838510288,0.963836838510288,0.963836838510288,0.963836838510288,0.963836838510288,171,78,148,245,56,202,164,67,115,937.78956368006,888.158283055013,915.534862797461,1128.105,1042.356,988.296,2145.28182205528,1973.61797835647,487.554247078143,977264.049,876556.266,931441.434,0.0593115273724966,9985.38077371141,0,624.327366162146,0.0882958142649199,5627.6777958773,0,3416.42732984705,0,350.745546320708,0.106695390507424,12592.3562118778,0,2657.42546066189,0,350.338820722016,0,1904.6365178619,1
744687,-262,980,-89,18,944,-111,-48,980,-145,50,1088,237,154,1000,101,38,1038,-9,-75,1029,89,127,981,-60,9,1009,-77,-86.1066666666667,1031.93333333333,91.5566666666667,122.42,977.233333333333,-49.5466666666667,6.98666666666667,1012.9,-74.8366666666667,-81.1951714488314,1031.77876572013,88.4017873932997,115.701735218956,977.147346375151,0,0,1012.79722388461,-68.4257558487265,94.9986666573098,1032.01038754462,97.4954528854209,124.193075491349,977.276184095366,61.2597203171328,15.7784663386528,1012.95122949396,76.857682331263,1615.77453734671,159.567447045707,1126.49510590858,438.72602006689,84.0323299888516,1302.22189520624,200.815875139353,104.130434782609,307.60199554069,40.1966980901007,12.6320009121955,33.5632999853795,20.9457876449393,9.16691496572601,36.0863117429067,14.1709518078128,10.2044321146553,17.5385859048183,7.42954663816183,5.55798891955162,13.4370556279377,6.69577153355184,3.41863149920774,8.39527849622634,4.72694285750788,3.08577416132739,5.12465948607186,-1.32161809191555,-0.1850926418934,-0.634993296551048,-1.58806824249262,-0.330406025443042,2.24796179694149,-0.890106355826117,-0.284014667661551,0.0152863540556564,-70,1039,89,127,981,-60,9,1019,-77,-83.0777777777778,1032.18518518519,90.8037037037037,124.466666666667,977.418518518519,-54.0740740740741,7.75185185185185,1013.14814814815,-74.8,0.946903280020621,0.946903280020621,0.946903280020621,0.946903280020621,0.946903280020621,0.946903280020621,0.946903280020621,0.946903280020621,0.946903280020621,312,108,326,136,56,212,86,58,136,936.800845920004,888.299695219709,914.341882478943,1091.613,1042.086,990.045,2464.27998968655,1399.20556716673,338.876622351799,975217.995,876820.872,929003.631,0.671059940340323,13755.5739539665,0,700.59240007393,1.03689934928516,9249.89065060046,0,3006.05786317831,0,173.578446511155,0.174437050223122,10848.5317323114,0,1250.75288690038,0,304.448018041563,0,1668.21906600759,1
749375,-181,970,9,100,935,-121,-38,971,-116,80,1068,326,309,1000,40,67,1038,-38,-50,1039,99,163,972,-60,9,1009,-87,-51.8466666666667,1034.51666666667,102.14,160.623333333333,970.31,-63.9433333333333,5.39333333333333,1012.90666666667,-82.65,-49.9544451967979,1034.38270521531,91.3775733785418,157.046198271133,970.191518471911,-58.9291499582657,0,1012.78873683494,-79.8605842020526,57.3179436709541,1034.58282252639,105.853515136091,162.6037002449,970.368825069451,66.6296480555015,15.9250327053563,1012.96535972362,83.951950543153,599.267380156075,137.340858416945,774.970301003345,642.248952062429,114.54237458194,351.933232998887,225.269520624303,119.302296544036,217.632943143813,24.4799383201036,11.719251615054,27.8382883993134,25.3426311195667,10.702447130537,18.7598836083513,15.0089813319993,10.9225590657151,14.7523877099205,11.9799836008359,6.88009876628934,16.5637938470902,10.1265153844662,3.85731912432144,5.86861463578658,4.34228548839786,3.52925778292803,2.70196230944589,0.612830392552576,-1.03022112542043,1.47729036841355,1.4892405963526,-0.606815670210593,0.280072954711135,0.315364263353279,-0.399790736235618,-0.0149334060716787,-50,1039,118,163,972,-60,9,1009,-77,-52.1851851851852,1035.03703703704,102.07037037037,159.366666666667,970.640740740741,-63.8518518518519,5.2,1013.3,-82.6111111111111,0.960362270315478,0.960362270315478,0.960362270315478,0.960362270315478,0.960362270315478,0.960362270315478,0.960362270315478,0.960362270315478,0.960362270315478,261,98,317,209,65,161,105,67,78,937.359427219462,887.490978746829,914.852360732126,1071.393,1075.629,996.771,946.29935161973,669.334383611514,255.433758184286,976366.737,875245.617,930060.321,0,3574.66570274764,0,440.419136449808,0,4001.78432491969,0.465489469502765,4366.71676797522,0,296.402624993638,0,1509.29017530389,0,1799.86658008682,0,257.75864733481,0,684.741936892382,1
754062,-70,1009,99,154,935,-90,-29,980,-106,-10,1058,158,218,990,-30,38,1038,-38,-40,1029,128,181,962,-60,9,1019,-77,-36.9,1032.69333333333,127.253333333333,184.35,965.193333333333,-61.8666666666667,6.72666666666667,1014.43,-74.68,-33.5124208734507,1032.60504069764,126.182899642061,183.742307285231,965.098384680199,-59.4288229791449,0,1014.33958768281,-71.9749926495657,38.257896788332,1032.73737545741,127.78108884599,184.651915776685,965.240647023667,63.0079360080935,12.0255284014189,1014.47505472863,75.9203969079895,102.397993311037,91.2701895206241,135.045975473801,111.780100334448,91.6414269788183,142.992196209588,99.6976142697879,91.7174916387961,187.429030100334,10.1191893603706,9.5535432966321,11.6209283395863,10.5726108570423,9.57295288710951,11.9579344457807,9.98486926653463,9.57692495735432,13.6904722380323,3.45524381516639,2.80644799262967,2.96752403837339,3.1157272848339,2.72807786088411,2.47873676808033,3.75519390967697,3.15237837030918,2.72003848205307,-0.125040727026577,-0.237078979294706,0.0496082550407874,0.0246697562076477,-0.323118266366474,-0.036485906166657,-0.249222369472896,-0.333725682176039,0.0643415691618501,-40,1039,128,190,972,-60,9,1019,-77,-36.7777777777778,1032.77777777778,127.185185185185,184.433333333333,965.459259259259,-61.962962962963,6.84814814814815,1014.62592592593,-74.7962962962963,0.954842478519772,0.954842478519772,0.954842478519772,0.954842478519772,0.954842478519772,0.954842478519772,0.954842478519772,0.954842478519772,0.954842478519772,60,49,59,64,55,60,67,58,68,937.146992728785,886.250221406235,915.603187589943,1077.162,1090.269,988.623,166.521255012277,162.09462842124,189.651067454679,975904.344,872780.253,931561.341,0,272.415150198417,0,164.618012546119,0,442.564321971207,0,373.2314075435,0,200.962272169167,0,362.089190149868,0,406.63333981449,0,157.61296169434,0,562.63987745476,1
758750,-161,1000,-39,27,935,-111,-19,980,-145,60,1058,158,318,1000,-20,38,1047,-48,-40,1039,118,172,972,-60,9,1009,-77,-44.7633333333333,1033.22666666667,118.043333333333,174.686666666667,966.79,-63.1666666666667,6.73333333333333,1012.62666666667,-79.7766666666667,0,1033.11523235417,113.739061897778,167.031007307301,966.668360435707,-59.4313590671412,0,1012.50600271445,-77.0387875855816,50.0376191813053,1033.28207507276,119.428318808117,177.005743786278,966.850586526515,64.8698697393482,13.1486374452514,1012.6868650608,81.1530447159357,501.679587513936,114.884905239687,329.994771460421,818.329587513937,117.544381270903,218.801560758083,127.975473801561,122.328383500557,222.240925306578,22.3982050065164,10.7184376305359,18.1657582131994,28.6064605904669,10.8417886564396,14.7919424268107,11.3126245319802,11.0602162501715,14.9077471573198,8.92957897995058,3.68583556613443,25.3242773872349,11.5849924360163,3.03247833941733,3.42261056556182,2.85614542994961,3.50476492970224,3.70102235627164,-0.563940215613002,-0.507222176713112,-3.12667307779047,0.00339950315925256,-0.318144136596421,-0.28041400182277,0.0897819397393279,-0.173292889666678,-0.473813003100908,-40,1039,118,172,972,-60,9,1009,-77,-44.0740740740741,1033.62962962963,119.133333333333,174.844444444444,967.096296296296,-62.7777777777778,6.63703703703704,1012.81111111111,-79.3481481481482,0.95698897480624,0.95698897480624,0.95698897480624,0.95698897480624,0.95698897480624,0.95698897480624,0.95698897480624,0.95698897480624,0.95698897480624,221,58,197,291,65,91,57,67,97,937.18126756588,886.507940411967,914.361809186912,1077.564,1084.179,992.247,504.868273058553,879.641103173509,223.876308854476,975994.86,873305.271,929064.051,0,3442.11536339885,0,414.594192992823,0,1741.8180079792,1.15834167878586,6193.4957851896,0,367.437271585235,0,932.88054318062,0,522.503967794672,0,398.53903135848,0,759.996296493223,1
763437,-70,1009,79,145,944,-101,-19,990,-106,-20,1058,148,200,990,-30,58,1047,-19,-40,1029,118,181,972,-70,9,1019,-67,-39.5333333333333,1033.68333333333,116.13,177.343333333333,967.006666666667,-68.2533333333333,12.5466666666667,1014.25333333333,-68.4466666666667,-36.7036616271957,1033.58703289087,114.938821965,176.764216212813,966.910673518743,-65.6198565293975,0,1014.16191264303,-64.6527464184409,40.8574758561188,1033.7314206311,116.706226626232,177.629361311693,967.054493466285,69.4815563057324,17.2790817657266,1014.29903217279,69.9247690974617,106.804905239688,99.7488851727981,134.615150501672,101.871694537347,92.8093199554068,169.734938684504,141.61988851728,93.012530657748,205.211192865106,10.3346458690991,9.98743636639544,11.6023769332698,10.0931508726139,9.63375938849454,13.0282362077337,11.9004154766664,9.64430042344949,14.3251943395231,2.85309448776975,2.98215762528355,3.3528625453335,2.88636600428121,2.53666943804484,2.79957991698384,4.24503942593742,3.15479070889085,3.36603454037364,-0.293608578093204,-0.114036176331071,-0.0542820024311157,-0.0912892148519395,-0.338973890715162,-0.0685945374440295,0.642596861623148,-0.00373848157828243,0.389034964685221,-40,1029,118,181,972,-70,9,1019,-77,-39.4074074074074,1033.81481481481,116.051851851852,177.366666666667,967.307407407407,-68.1481481481482,12.1111111111111,1014.28518518519,-68.7962962962963,0.940510076611209,0.940510076611209,0.940510076611209,0.940510076611209,0.940510076611209,0.940510076611209,0.940510076611209,0.940510076611209,0.940510076611209,50,49,69,55,46,71,77,57,87,936.948827741025,887.076264911919,915.126020968172,1070.412,1091.343,986.604,149.041541632159,185.126625095913,206.642141609757,975501.294,874416.843,930591.51,0,354.217173637388,0,196.91768051162,0,348.415585989031,0,377.020532870844,0,198.491213954749,0,547.964696579579,0,809.840920486527,0,130.510839552386,0,676.169771246922,1
768125,-60,1000,69,154,935,-111,-19,980,-106,-10,1068,138,209,990,-50,58,1038,-38,-30,1039,108,181,962,-80,19,1009,-67,-31.3333333333333,1035.52,110.906666666667,183.54,963.416666666667,-77.8233333333333,16.73,1013.38666666667,-70.9833333333333,-28.2131661442006,1035.42014146328,109.875962127805,182.922781778933,963.309524240054,-75.996621629937,0,1013.28031926543,-68.9774407061365,32.5883414736007,1035.56978840958,111.401137037884,183.842758900099,963.470073916846,78.6921639470327,19.6913686675152,1013.43961175132,71.9620038631499,80.4905239687847,103.461137123746,110.29226309922,111.600401337793,103.253901895207,136.440256410256,108.217826086956,107.669386845039,140.364269788183,8.97165112834782,10.1715847891932,10.5020123357012,10.5641091123574,10.1613927143481,11.6807643761124,10.4027797288492,10.3763860204331,11.8475427742711,2.91825569171509,3.90794251561888,3.38186994104539,2.96929993044749,3.11753313101557,2.66820106133245,4.05734745331834,3.07472924345256,2.9006642041786,-0.0418552781982422,-0.257282364453778,-0.155308452890362,-0.20146085571479,-0.266458814094233,0.030571286789579,-0.0490349103758827,-0.398269434686838,-0.218967844178872,-30,1039,118,181,972,-80,19,1019,-67,-31.1851851851852,1035.74074074074,111.025925925926,183.8,963.551851851852,-77.7111111111111,16.7111111111111,1013.76296296296,-70.9333333333333,0.927972814719956,0.927972814719956,0.927972814719956,0.927972814719956,0.927972814719956,0.927972814719956,0.927972814719956,0.927972814719956,0.927972814719956,50,68,69,55,55,61,77,58,68,937.805734359798,885.562567464041,914.514883834426,1059.984,1102.302,991.488,135.532991295593,160.544884852992,163.613485282442,977289.3,871438.68,929363.514,0,234.359970206727,0,173.414266227912,0,275.119497671049,0,492.008175266687,0,242.797736139568,0,277.525109624661,0,594.043392301477,0,227.730232045082,0,269.088664928244,1
772812,-60,1000,89,145,935,-111,-9,980,-97,-10,1058,148,209,990,-40,48,1038,-19,-40,1039,108,181,962,-70,19,1019,-58,-35.4333333333333,1033.31333333333,111.506666666667,182.633333333333,965.046666666667,-73.87,23.0166666666667,1014.32333333333,-61.0433333333333,-31.578947368421,1033.19778974306,110.542369591292,181.883872637961,964.960698734953,-71.5969292773213,0,1014.2343203923,-57.2722901953767,36.9278575964903,1033.37098856122,111.983540457218,182.997759549127,965.089598603846,74.9215367345509,26.3771997502894,1014.36774560971,62.6425574190582,108.507246376812,119.553667781494,106.933065774805,133.691192865106,83.1416276477146,156.983043478261,166.544871794872,90.4001226309921,198.462998885172,10.4166811594102,10.9340599861851,10.3408445387601,11.5624907725414,9.11820309313818,12.5292874289906,12.9052265301649,9.50789790810735,14.0876896219775,3.04666668790032,2.77222282786834,3.05585478677235,3.12775329522008,3.08571938541755,3.39785610382191,2.69914257008027,3.00675289968594,3.10772488541922,-0.0534951732689423,-0.169914113124797,0.0903429030174001,-0.283760978290409,-0.106393846744956,-0.0370512537030507,-0.0525319521174816,-0.205334369626752,-0.00835001897394779,-40,1039,108,181,962,-70,19,1019,-58,-35.3333333333333,1033.44444444444,111.581481481481,182.859259259259,965.02962962963,-73.9259259259259,23.1074074074074,1014.43333333333,-60.9703703703704,0.925172683087598,0.925172683087598,0.925172683087598,0.925172683087598,0.925172683087598,0.925172683087598,0.925172683087598,0.925172683087598,0.925172683087598,50,58,59,64,55,71,57,58,78,936.017884365311,886.591151367623,914.937709826996,1062.228,1099.395,988.869,152.311320393887,175.81815872052,221.320537919446,973583.622,873449.415,930205.593,0,384.559433442782,0,217.227705480919,0,262.641575313171,0,606.544014731089,0,148.102722148826,0,332.156353619353,0,1086.17530180636,0,173.895051899165,0,758.534539906314,1
777500,-262,921,-29,-72,898,-191,-29,961,-106,343,1098,316,463,1027,40,135,1066,0,-50,1029,108,163,972,-60,9,1019,-58,-69.49,1032.45666666667,105.573333333333,154.026666666667,971.146666666667,-54.2733333333333,14.7233333333333,1014.49,-53.6766666666667,0,1032.14042651787,0,144.927759131468,970.895893234881,0,0,1014.31655140042,0,90.4113746531191,1032.61074466616,110.987356637291,160.694617209165,971.270559627955,66.4274541636714,30.3989583154862,1014.57602475123,58.7296915253832,3356.54505016722,319.245607580825,1176.38590858417,2105.5645039019,241.456677814939,1471.91835005574,709.685741360088,175.133678929766,569.891761426979,57.9356975462212,17.8674454688079,34.2984825988581,45.8864304985896,15.5388763369472,38.3655880973528,26.6399275779813,13.2338081794231,23.8724058575372,17.6331200775715,12.7052384522855,13.4718415893432,12.6189734602306,5.79763253482396,4.21080775799453,6.11649886560248,5.02062111180855,2.24514987433932,1.66932415810968,-1.29503813243855,0.421595168658631,0.34836632175861,-0.671265673143929,-0.473398592773342,1.49224154796263,-0.567760362088282,0.216301808690789,-40,1029,108,172,972,-70,0,1019,-58,-69.7148148148148,1032.71111111111,106.818518518519,153.785185185185,971.644444444444,-52.6185185185185,12.4888888888889,1014.90740740741,-53.8555555555556,0.951802825287113,0.951802825287113,0.951802825287113,0.951802825287113,0.951802825287113,0.951802825287113,0.951802825287113,0.951802825287113,0.951802825287113,605,177,345,535,129,231,164,105,106,938.137979883932,887.965196505887,914.983007484309,1092.786,1063.692,979.485,3922.98653348256,3031.75277091854,732.011841477292,978099.624,876241.68,930364.005,1.74669632744119,21676.7354410669,0,2067.29668515372,1.67522898255659,7289.93385748718,0.691635657360011,12687.1489494959,0,1250.8651694137,0.517827497707308,11327.0273154148,0.337949478265645,5727.16332339314,0,649.190718161216,0,3062.88215615498,1
782187,-404,921,-108,-9,935,-191,-67,961,-155,111,1117,346,318,1018,111,67,1066,58,-131,1029,128,118,981,0,0,1019,-38,-134.103333333333,1025.16333333333,113.36,113.75,980.116666666667,-10.0566666666667,-2.28666666666667,1015.99666666667,-42.2566666666667,-119.088909968194,1024.84981928133,0,0,979.966228782516,0,0,1015.79275945364,0,143.467987137665,1025.31982490018,129.421868322166,119.685574179459,980.191595216636,48.6798726374669,24.1558826513681,1016.09825148293,55.8122149115526,2608.0528316611,321.956510590859,3912.57230769231,1390.20819397993,147.374303232998,2276.18072463768,580.211861761426,207.120390189521,1333.82353400223,51.0690985984783,17.943146618998,62.5505580126373,37.2854957588059,12.139781844539,47.7093358226425,24.0875872963945,14.3916778100929,36.5215488992763,12.0749932858211,10.5331493985794,4.9632876526614,8.18923116657868,4.02048008003148,5.23138029302206,3.10481187818289,4.29307129900138,3.42869517285141,-0.51834776493469,0.0772446243775651,-0.933115060691334,0.467369168897759,-0.272332630043379,-1.19044666712823,0.0686818742855102,-0.206040413599448,-0.298291677572759,-121,1019,128,118,981,10,0,1019,-48,-134.1,1024.76666666667,116.885185185185,113.87037037037,980.318518518519,-6.86296296296296,-2.57777777777778,1016.14074074074,-41.8074074074074,0.938932010580795,0.938932010580795,0.938932010580795,0.938932010580795,0.938932010580795,0.938932010580795,0.938932010580795,0.938932010580795,0.938932010580795,515,196,454,327,83,302,134,105,213,938.919710131038,889.749894455773,916.038906735037,1152.51,1013.751,972.39,4154.68529098214,2280.94181541114,1502.60346844214,979752.444,879722.937,932538.75,0.491142817199424,17067.8730622928,0,1998.3695326902,0.767506136159801,31876.8120167531,1.89207232533306,10741.9435895829,0,497.016150936953,0.272668416197529,18630.6303223089,0.568017819063888,5248.55910721213,0,946.917561523138,0.0566651424490995,10989.788173205,1
