A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92
670000,-263,935,0,-135,971,-116,-227,981,70,-87,1028,-58,-254,962,30,-116,1009,-87,-250.1328125,959,35,-111.9296875,1007.1484375,-88.0234375,-249.863056192529,958.921973403465,0,-111.161868880603,1007.03858060674,-86.0029372044504,250.266061547506,959.038980242722,36.8908864084343,112.311334857618,1007.20302307305,88.9559669864816,67.2026943897638,75.3543307086614,137.007874015748,86.2548597440945,110.8203125,166.338029035433,8.19772495206833,8.68068722559806,11.7050362671693,9.28734944664486,10.5271227075588,12.8972101260479,2.83656770856386,3.13022500434024,3.15814506539834,3.05059701002353,3.62797457862499,2.94256688395534,0.303563872134582,-0.0725084011067345,0.162665350113321,-0.124372160907545,-0.572776860166681,0.203644575439204,-254,962,30,-106,1009,-97,-250.353448275862,959.103448275862,34.8275862068966,-111.913793103448,1007.53448275862,-88.1379310344828,36,46,70,48,57,58,991.801395859487,1017.27973063349,1244.1328125,1207.1015625,142.207229039506,199.891701170888,983749.8046875,1034984.9296875,984.069041727928,1009.22606998029,0,0,1
672000,-272,925,0,-135,980,-126,-218,981,70,-97,1038,-67,-245,962,30,-116,1009,-87,-246.6875,960.3125,33.59375,-115.8359375,1004.7421875,-92.4375,-246.122250400142,960.230167986436,0,-115.023399731367,1004.61695616507,-90.582968942792,246.9637498703,960.353418018596,35.9904501222199,116.240288572852,1004.80487455899,93.3211022491698,137.444881889764,79.2086614173228,168.08562992126,94.5791707677165,126.964505413386,165.429133858268,11.7236889198649,8.89992479840829,12.9647842219321,9.72518229997343,11.2678527419108,12.861925744548,3.04406737689827,4.19151042845346,3.08651856892295,2.32319619064017,3.36331445489715,2.67522020623376,0.372158830478135,-0.624015414955052,-0.101884366576456,-0.0753841657435119,0.130903054972144,0.070290295377721,-245,962,30,-116,1009,-87,-247.172413793103,960.715517241379,33.7931034482759,-115.818965517241,1004.63793103448,-92.448275862069,54,56,70,38,58,59,992.207745604439,1015.73300796594,1240.59375,1213.015625,174.063869947443,187.737117681463,984565.09375,1031853.46875,984.44124337152,1007.697092808,8.79030601200318,8.79030601200318,1
674000,-272,935,0,-155,980,-126,-218,981,60,-97,1028,-67,-245,962,40,-116,1009,-97,-245.2109375,959.7109375,34.140625,-118.4140625,1006.015625,-95.21875,-244.857101588343,959.594414655944,0,-117.481072088234,1005.91556705731,-93.5445685878671,245.387560172679,959.76906809008,36.6038761608658,118.87536146107,1006.06546444553,96.0085445416188,87.3331077755905,112.459092027559,175.633612204724,110.323265255906,101.07062007874,152.219488188976,9.34521844450896,10.6046731221457,13.2526832077404,10.5034882422891,10.0533884874076,12.3377262163243,2.89485528947572,2.80388830709486,2.60313537912927,3.62053187970472,3.44874689202414,3.09482944984749,-0.0379203151212554,-0.181726857684354,-0.18054819438846,-0.109882466622612,-0.354891227848961,0.141047998043235,-245,962,40,-116,1009,-97,-245.23275862069,959.810344827586,34.1379310344828,-118.318965517241,1006.29310344828,-95.2586206896552,54,46,60,58,48,59,991.261615959213,1017.54623633447,1239.0625,1219.6484375,177.05510778189,180.28668040558,982711.5625,1035516.7109375,983.452420159851,1009.49505291391,18.5426049722802,18.5426049722802,1
676000,-272,925,0,-135,980,-116,-227,981,60,-87,1028,-58,-254,962,30,-116,1009,-87,-250.1328125,958.734375,30.703125,-114.078125,1006.5078125,-89.125,-249.77502266673,958.654668549212,0,-113.217515955726,1006.41952639163,-87.5978099755472,250.311571471436,958.774054457045,32.8942434173519,114.505526613347,1006.55182197068,89.8453532465647,90.1633243110236,76.6847933070866,140.446604330709,98.4662893700787,89.2912770669291,129.937007874016,9.49543702580474,8.75698540064368,11.8510170167251,9.92301815830641,9.44940617535987,11.3989915288159,2.23716121990102,4.73837447179638,3.09171434760837,2.73092805693588,3.19747743402694,2.57740287640237,-0.0362524582978244,-0.444529317698834,0.291282126016875,-0.0974324790521122,-0.301428685922311,0.202628567210398,-245,962,30,-116,1009,-87,-250.120689655172,958.896551724138,30.4310344827586,-113.965517241379,1006.81896551724,-89.3879310344828,45,56,60,48,48,58,991.417400137113,1016.97316889695,1239.5703125,1209.7109375,147.369895682026,147.165235465926,982985.6015625,1034330.2734375,983.645844293676,1009.08369187808,28.2234342336748,28.2234342336748,1
678000,-272,925,0,-145,971,-126,-218,981,60,-87,1028,-58,-245,962,30,-116,1009,-97,-244.4375,960.84375,33.046875,-118.9140625,1005.1875,-92.4296875,-243.974139004014,960.738004986744,0,-117.853506112812,1005.08238040365,-90.3441806601817,244.669739138292,960.896464570975,35.167012241588,119.410891201347,1005.23990451285,93.4001388516099,114.484251968504,102.101377952756,145.76156496063,119.339013287402,106.185039370079,181.758796751969,10.699731397026,10.104522648436,12.0731754298788,10.924239712099,10.3046125288668,13.4817950122366,3.59610027855153,3.4903017681229,2.75571531741235,3.08230613643687,2.85368864948277,2.6092106036585,-0.177298734163489,-0.256861266902884,0.0995900088742686,0.486183154696156,-0.268376791436672,0.205786105520759,-245,962,30,-126,1000,-87,-244.224137931034,960.913793103448,33.0172413793103,-119.301724137931,1005.43103448276,-92.5172413793103,54,56,60,58,57,68,992.127011099366,1016.55219738686,1238.328125,1216.53125,147.240325352358,196.087432381412,984422.015625,1033489.8125,984.341568333833,1008.60436872423,37.6541882582147,37.6541882582147,1
680000,-263,925,0,-135,980,-116,-227,981,60,-87,1028,-48,-245,962,30,-116,1009,-97,-244.9296875,959.890625,30.859375,-119.015625,1006.1875,-92.9453125,-244.558545893215,959.802002394462,0,-118.207167795151,1006.0925650413,-91.319281640089,245.114338753366,959.93482851702,33.4360396877381,119.394762762024,1006.23487566274,93.6435645813422,91.1997416338583,85.53125,166.97219488189,91.1021161417323,96.0905511811024,131.311946358268,9.54985558183255,9.24831065654696,12.9217721262174,9.54474285362012,9.80257880259589,11.4591424791852,2.3954254523172,3.62757415487331,2.74283154410721,3.13537942089564,2.82342048208767,4.5376461018853,0.0638409002035998,-0.226006016258238,0.213411229194625,0.602511362240049,-0.179470873889334,0.655475709351703,-245,962,30,-126,1009,-97,-244.922413793103,960.01724137931,30.6896551724138,-119.336206896552,1006.30172413793,-93.2586206896552,36,56,60,48,48,68,991.255217139993,1017.55803383041,1235.6796875,1218.1484375,171.275828423595,160.396082513118,982673.8828125,1035532.8515625,983.460838794258,1009.62517604087,47.3306049107062,47.3306049107062,1
682000,-327,935,-20,-155,933,-135,-190,981,101,-67,1114,-48,-258.5,962,30,-116,1000,-87,-256.8203125,958.734375,29.3046875,-112.4296875,1004.390625,-89.1328125,-255.385574195016,958.620081723978,0,-110.974613614577,1003.95203764754,-85.5867407326555,257.499378033229,958.79142674515,33.8541217948421,113.118059179337,1004.61409724083,90.7286045715462,352.006828248031,110.259596456693,289.599347933071,156.483206200787,452.49187992126,289.281434547244,18.7618450118327,10.5004569641846,17.0176187503737,12.5093247699781,21.2718565226747,17.0082754724647,5.48636404343539,2.88956486741252,5.08697075275476,4.74996063531374,10.5054228796995,2.91177338777197,0.404206450878514,-0.129064024487109,0.527189825563444,-0.00295131714634513,1.07986702579906,0.0754886082302791,-263,962,30,-116,1000,-77,-257.413793103448,958.73275862069,28.8793103448276,-112.318965517241,1003.99137931034,-89.3620689655172,137,46,121,88,181,87,993.298797914202,1014.79046500172,1245.171875,1205.953125,395.65186286205,505.25353338201,986733.03125,1030276.859375,985.665983439454,1006.94242465954,57.2049887210719,57.2049887210719,1
684000,-2390,564,-1595,-621,514,-524,827,1990,747,378,1485,203,-231.5,962,10,-174,990,-106,-225.84375,983.0546875,12.3359375,-161.46875,994.78125,-119.078125,0,953.682654345497,0,0,967.561885915872,0,499.441062588971,1000.76311117442,306.270343712055,237.862913513225,1007.37009088021,154.187588670424,199998.463582677,35406.9024975394,94386.7445250984,30746.8179133858,25403.2273622047,9669.75762795276,447.211877729871,188.167219508445,307.224257709411,175.347705754555,159.383899319237,98.3349257789558,9.44104779109871,10.4814298357162,9.66725632075218,3.60900675832229,4.22579670318711,5.79686550501563,-1.30449176049443,1.98564177354951,-1.51636540994751,0.0859852648158922,0.122327884595692,-0.720505879099467,-290,990,-90,-223,980,-106,-211.275862068966,968.189655172414,29.2844827586207,-162.275862068966,994.862068965517,-115.23275862069,3217,1426,2342,999,971,727,1113.23082164953,1035.41867216931,1547.21875,1313.65625,254093.648653686,33545.1932074937,1344769.703125,1095147.078125,1105.27035139598,1026.96508902428,156.538826957387,156.538826957387,1
686000,-2581,555,-1858,-689,438,-407,1236,1898,747,553,1561,184,-145,944,70,-184,971,-121,-127.308510638298,989.946808510638,-4.61702127659574,-166.063829787234,972.744680851064,-131.393617021277,-646.06470387308,929.727973338618,0,0,915.21963630474,0,618.092303579879,1023.48323168087,511.262226093213,269.973521160242,1000.20674458578,177.80418945355,369764.30164722,68249.2982155113,264178.152825441,45795.6948066804,54763.912605811,14504.3487760238,608.082479312815,261.245666405227,513.982638642046,213.999286930308,234.016906666615,120.434001743792,4.78608059240747,4.5320338281253,5.23137965536952,3.74202749090448,2.6793678594255,3.1218664061561,-0.637374129629059,1.02493573108107,-1.43794418376424,0.148257566887627,0.275023803771033,-0.0193705540996711,-145,1268,-60,-330,761,-106,-109.22619047619,972.047619047619,44.4047619047619,-165.369047619048,967.75,-131.892857142857,3817,1343,2605,1242,1123,591,1233.51899553561,1027.81368090863,1844.48936170213,1336.13829787234,505247.071307381,66287.4834527081,1690945.08510638,1104913.56382979,1223.50628521078,1013.94910577374,381.245269914223,381.245269914223,1
687468,-4572,537,-1898,-902,323,-873,1545,1861,1131,708,1628,368,-231.5,948.5,25,-179,985,-126,-184.2890625,975.265625,17.703125,-176.1015625,1000.1484375,-131.2109375,2321.22776185611,924.191070828241,547.20389965224,0,922.135879385164,0,740.50266394693,1003.37530366259,471.407334478368,363.482322042627,1031.93528367214,211.095968252594,518431.986651083,56056.905265748,223658.808809055,101903.761257382,65102.1431471457,27560.5142101378,720.022212609502,236.763395113662,472.925796303242,319.22368530136,255.151216236854,166.013596461669,12.5984530806824,5.87113987771801,4.86125843934811,2.75522295522996,2.91235998790867,5.71991865487725,-1.63486389778262,1.19429560188044,-0.57015351538521,0.196418818827192,-0.0874467437623987,-0.373526975202515,-290,879,10,-203,866,-126,-156.793103448276,959.655172413793,31.2758620689655,-183.01724137931,1002.5,-131.060344827586,6117,1324,3029,1610,1305,1241,1244.21058224697,1088.59853408749,1856.4296875,1453.5078125,612706.7701125,123217.635923448,1777331.0703125,1241571.3359375,1236.96530773941,1078.09640181526,630.249800673668,630.249800673668,3
