A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45
750000,-121,950,257,90,1029,396,-50,990,326,-51.1428571428571,991.586466165414,322.924812030075,0,991.361122941256,321.482587650337,63.5155537164699,991.699191143305,323.640023269147,1429.38095238095,225.259512417407,465.933697881067,37.807154777647,15.008647921029,21.5854973971198,4.57049291811964,2.47700138190917,3.91853652022471,0.780174050872491,0.0574973845081253,0.0882753072871342,-50,980,326,-52.8151260504202,991.411764705882,322.924369747899,211,79,139,1045.02272233523,1370.31578947368,1431.80570909352,1092244.37593985,1
752078,-161,931,277,50,1058,396,-50,990,336,-48.0676691729323,987.827067669173,331.954887218045,0,987.593223434512,330.438669593739,57.6326844402503,987.943771040054,332.703711128229,1018.68478013215,232.325928457507,501.482797903851,31.916841637796,15.2422415824414,22.3938115983825,5.37870646574273,7.44157513502909,3.20004053333787,0.0676626061610466,-0.0198816370702702,-0.0168521893517404,-50,990,326,-48.9075630252101,987.957983193277,332.176470588235,211,127,119,1043.96910387758,1371.30827067669,1025.97813347797,1090046.18045113,1
754156,-151,941,257,20,1039,396,-60,990,326,-61.3759398496241,989.375939849624,330,0,989.06703887787,328.123239590968,67.4850582181476,989.530400510179,330.905615418943,793.190931875143,307.978810663021,603.060606060606,28.1636455714658,17.5493250771368,24.5572923194029,3.93524341565874,3.16237350370022,3.8666337386949,-0.213039849165288,0.0461477268359211,-0.239778701809063,-60,1000,326,-61.1428571428571,989.268907563025,330.495798319328,171,98,139,1045.46302069773,1381.35338345865,826.228789165502,1093223.17293233,1
756234,-131,950,247,30,1058,376,-70,990,316,-70.7593984962406,993.406015037594,315.353383458647,0,993.143208979847,313.789452745904,75.7102211988907,993.538103147542,316.098276333092,730.638642059695,264.439963545227,473.927204374572,27.0303281900108,16.2616101153984,21.7698691859775,3.7916922921055,4.23498789168879,3.93886745631931,0.268724976773818,0.373356814033703,-0.476360528222427,-80,1000,316,-70.8739495798319,993.201680672269,316.058823529412,161,108,129,1045.26454754625,1379.96992481203,778.00407513352,1092768.12030075,1
758312,-181,941,237,20,1058,356,-80,1000,306,-82.8796992481203,997.293233082707,301.84962406015,0,996.950022107939,300.14546433627,89.8395813433024,997.466128092443,302.653204850064,1211.21269081795,347.49669628617,489.446912736387,34.8024811014668,18.6412632695901,22.123447125988,3.51751652020637,4.34882383570037,3.32001718527135,-0.204222091050509,0.466476591327583,-0.617153771420756,-80,1000,306,-82.4033613445378,996.697478991597,302.647058823529,201,117,119,1046.12008070009,1382.32330827068,1236.66979452121,1094608.78947368,1
760390,-181,941,217,20,1049,415,-90,990,306,-86.1278195488722,994.924812030075,303.593984962406,0,994.527448421069,300.817495580752,93.1832619130275,995.1241921965,304.951247182061,1274.70323536113,399.782182729551,832.212690817954,35.7029863647445,19.9945538267187,28.8480968318181,3.01647199706901,3.11313541918396,4.71115729362697,0.353206270758643,0.221966772131083,0.125219754730156,-80,990,316,-87.1260504201681,994.63025210084,303.428571428571,201,108,198,1044.85765664887,1384.94736842105,1360.5943289179,1091950.54135338,1
762468,-151,950,267,-20,1039,405,-90,990,336,-89.5338345864662,987.571428571429,331.12030075188,-81.6039807647281,987.285629435794,329.25807367623,92.4030888394304,987.714392830494,332.058435386421,525.978013214855,284.534632034632,626.864205969469,22.9342105426556,16.8681543754683,25.0372563586642,3.21013820214548,2.71813906860851,2.98274424652594,0.276322919057794,0.0597997466860808,0.26210294118967,-101,980,336,-90.0084033613445,987.428571428571,330.663865546218,131,89,138,1046.02047419237,1408.22556390977,854.795974746399,1094380.85714286,1
764546,-212,960,287,0,1029,386,-90,980,346,-85.4962406015038,983.556390977444,341.353383458647,0,983.396266266998,340.301044056668,89.6343029798118,983.636902719178,341.871826661194,730.191273638642,159.582023239918,356.89690134427,27.0220516178665,12.6325778541008,18.8917151509404,5.97551749175622,3.34234415846761,2.65644222460783,-0.604445414945729,0.46871324382518,-0.160123995891349,-90,980,346,-84.9831932773109,983.27731092437,341.63025210084,212,69,99,1045.13133387996,1410.40601503759,737.076983879804,1092452.21052632,1
766625,-171,950,297,60,1029,386,-80,990,336,-77.5037593984962,986.924812030075,336.157894736842,-75.334968668812,986.684543668021,335.340112051108,82.2598121304038,987.045637357039,336.572741805268,765.600364547732,240.312485759854,281.194577352472,27.6694843563759,15.5020155386277,16.7688573657382,10.0951358582803,3.09891003267186,3.26176642249769,1.25687509833139,0.401732571822145,0.408172684713907,-80,990,336,-78.5798319327731,986.53781512605,335.747899159664,231,79,89,1045.99282423645,1402.24060150376,784.930745354465,1094306.97744361,1
768703,-141,950,297,0,1009,405,-70,990,336,-74.5187969924812,985.518796992481,337.96992481203,0,985.39668106938,337.037861608336,77.5470267217477,985.579811029921,338.446872809139,463.978810663021,121.175780359991,325.059694691273,21.5401673777857,11.0079871166345,18.0294119341501,3.81558160530335,3.04024618556346,4.35295572965603,7.99328146857499e-05,-0.0390188167102943,0.605897768693351,-70,990,326,-74.4033613445378,985.378151260504,337.344537815126,141,59,108,1044.88853475451,1398.00751879699,465.97120516943,1091927.39097744,1
