Var1,Var2,Var3,Var4,Var5
257,0,0,0,1
289,0,0,0,1
321,0,0,0,1
353,0,0,0,1
385,0,0,0,1
417,0,0,0,1
449,0,0,0,1
481,0,0,0,1
513,0,0,0,1
545,0,0,0,1
577,0,0,0,1
609,0,0,0,1
641,0,0,0,1
673,0,0,0,1
705,0,0,0,1
737,0,0,0,1
769,0,0,0,1
801,0,0,0,1
833,0,0,0,1
865,0,0,0,1
897,0,0,0,1
929,0,0,0,1
961,0,0,0,1
993,0,0,0,1
1025,0,0,0,1
1057,0,0,0,1
1089,0,0,0,1
1121,0,0,0,1
1153,0,0,0,1
1185,0,0,0,1
1217,0,0,0,1
1249,0,0,0,1
1281,0,0,0,1
1313,0,0,0,1
1345,0,0,0,1
1377,0,0,0,1
1409,0,0,0,1
1441,0,0,0,1
1473,0,0,0,1
1505,0,0,0,1
1537,0,0,0,1
1569,0,0,0,1
1601,0,0,0,1
1633,0,0,0,1
1665,0,0,0,1
1697,0,0,0,1
1729,0,0,0,1
1761,0,0,0,1
1793,0,0,0,1
1825,0,0,0,1
1857,0,0,0,1
1889,0,0,0,1
1921,0,0,0,1
1953,0,0,0,1
1985,0,0,0,1
2017,0,0,0,1
2049,0,0,0,1
2081,0,0,0,1
2113,0,0,0,1
2145,0,0,0,1
2177,0,0,0,1
2209,0,0,0,1
2241,0,0,0,1
2273,0,0,0,1
2305,0,0,0,1
2337,0,0,0,1
2369,0,0,0,1
2401,0,0,0,1
2433,0,0,0,1
2465,0,0,0,1
2497,0,0,0,1
2529,0,0,0,1
2561,0,0,0,1
2593,0,0,0,1
2625,0,0,0,1
2657,0,0,0,1
2689,0,0,0,1
2721,0,0,0,1
2753,0,0,0,1
2785,0,0,0,1
2817,0,0,0,1
2849,0,0,0,1
2881,0,0,0,1
2913,0,0,0,1
2945,0,0,0,1
2977,0,0,0,1
3009,0,0,0,1
3041,0,0,0,1
3073,0,0,0,1
3105,0,0,0,1
3137,0,0,0,1
3169,0,0,0,1
3201,0,0,0,1
3233,0,0,0,1
3265,0,0,0,1
3297,0,0,0,1
3329,1.13958226283478,2.52087377452008,0,1
3361,1.42910154273399,1.77082536411935,2.20759640753098,1
3393,1.91165284097089,0.634834776475695,1.34176321378741,1
3425,1.2141431655404,0.257957914363908,2.31989422237527,1
3457,1.3033208937646,0.279605407029595,1.76605711266896,1
3489,0.927085815953162,0.262703340033407,1.57619582927855,1
3521,1.26234422174081,0.271776979787971,1.87563538418092,1
3553,1.29675242823634,0.264922137907816,1.671624240271,1
3585,0.991791438661834,0.243634449647824,2.19394216366316,1
3617,0.939491706579474,0.33843930042162,1.95055363845066,1
3649,0.889004840063524,0.41509583503989,2.46788650048827,1
3681,0.925747940174053,0.403031049141305,2.42904006448733,1
3713,0.918151511290465,0.337729359027238,2.75065292432638,1
3745,0.926475486896172,0.439517292606725,2.54034521266706,1
3777,0.861265012492371,0.341178841998573,2.43037058718738,1
3809,0.956228376351213,0.345082890941374,2.86774176486436,1
3841,1.09424881813819,0.31898881080027,2.2771037537433,1
3873,1.0404676669164,0.281502297329604,2.26427724023104,1
3905,1.17294803805353,0.241463897957202,2.03103479441373,1
3937,0.841687341530585,0.236362158937906,1.8012509693732,1
3969,0.990204390572696,0.252240193294913,1.60895055209878,1
4001,0.986274487326753,0.220168369250554,1.26254301456448,1
4033,0.935873196250519,0.302951420429822,2.45141288717615,1
4065,0.87164371897466,0.294593303622895,2.18444707590013,1
4097,0.715211454440035,0.324462493864671,2.85889288896815,1
4129,0.718238665493511,0.325956588263599,3.12289340022937,1
4161,0.842406004258386,0.226704891653591,4.25703400042531,1
4193,0.822252686222928,0.306239216188438,3.09550441315792,1
4225,0.779907286165785,0.249101095739695,2.72379461990282,1
4257,0.852901114112154,0.43102418666153,2.23010793815892,1
4289,0.787509773279799,0.366257534899432,1.74994572539765,1
4321,0.842141693010764,0.52037631097548,1.88261475981828,1
4353,1.26509027778151,0.61928440198968,1.74172325580314,1
4385,1.08543550056887,0.594478830865448,1.82073634480224,1
4417,0.845226413358259,0.590445252646441,0.684960449967678,1
4449,0.983017032034032,0.378599542393114,0.716446033722912,1
4481,2.43839934570564,0.632424976167034,0.99666842084726,1
4513,2.46764111290098,0.405095332505,0.971682483288497,1
4545,2.00714235498546,0.441181471931129,1.20618898025749,1
4577,1.94049883014372,0.433579204289516,1.18151540020143,1
4609,2.08063190223669,0.584625519444384,3.03504908156568,1
4641,2.17969862491541,0.496677309416107,3.17009689441529,1
4673,1.62826430640979,0.476028370060235,2.95068632724118,1
4705,1.45253633039846,0.373361034070211,3.84269978252965,1
4737,1.21436350885507,0.309702914280602,4.75697626571731,1
4769,1.20669987596594,0.356539478462216,6.57980383433336,1
4801,1.10587893457328,0.407199683928273,5.67197798745808,1
4833,1.03272429462023,0.336420060412014,5.17710397423834,1
4865,0.827853168808158,0.333985346464774,3.6517341001528,1
4897,0.83479032449032,0.313192910905058,4.46479234711091,1
4929,0.780585149148245,0.357080671970948,3.31502984259281,1
4961,0.885182371514529,0.376188649270647,3.63887252858598,1
4993,0.908895791767768,0.371361060465772,3.09615008388133,1
5025,1.04157306331064,0.41744129760384,4.66933578298331,1
5057,1.10074991548467,0.2608057067784,3.10172042419055,1
5089,1.11406901659435,0.198123102706666,2.64291864386542,1
5121,1.21699543220442,0.366679842515922,2.27720534986626,1
