TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
250000,-161,1029,99,-190,981,171,58,1028,116,1
476203,-323,931,217,-172,972,111,368,1104,223,1
476218,-272,901,297,-136,907,90,368,1047,116,1
476234,-252,1000,306,45,916,121,194,990,67,1
476250,-131,1009,396,218,972,20,126,1095,-9,1
476265,-151,990,277,272,972,-121,165,1209,-174,1
476281,-171,970,39,363,870,-202,-155,1009,67,1
476296,-202,1196,148,454,1027,-303,-184,923,126,1
476312,-313,1254,49,236,1175,-313,-38,914,223,1
476328,-373,1000,514,-436,1166,-10,67,733,514,1
476343,-292,862,445,-781,1009,252,174,761,417,1
476359,-60,607,-39,-918,888,434,466,809,407,1
476375,434,509,-79,-1000,777,545,466,780,427,1
476390,161,441,297,-318,722,494,533,885,194,1
476406,-3464,696,69,381,759,171,378,1114,-213,1
476421,131,460,-1663,-800,1407,30,300,819,339,1
476437,101,1294,584,390,1194,-191,213,1314,-19,1
476453,-656,1088,1029,636,1009,40,271,1447,194,1
476468,-303,941,148,-290,888,373,174,1000,320,1
476484,-313,990,316,-145,907,121,116,790,407,1
476500,-353,980,297,200,990,10,135,866,233,1
476515,-353,1078,247,72,1083,50,19,1104,291,1
476531,-515,1058,316,-72,1111,141,-29,1104,368,1
476546,-424,1009,366,-218,1027,141,48,1066,378,1
476562,-444,941,247,-118,953,131,242,923,388,1
476578,-373,911,267,9,981,80,242,876,349,1
476593,-333,911,277,63,925,121,281,847,359,1
476609,-373,852,336,-27,861,252,281,828,427,1
476625,-454,813,346,-127,925,242,262,828,427,1
476640,-595,990,316,-90,1064,-30,300,933,339,1
476656,-606,774,336,-63,962,-212,417,1057,116,1
476671,-434,882,287,154,944,-404,466,1047,19,1
476687,-373,1039,138,300,1009,-404,213,1038,9,1
476703,-181,1215,643,136,1212,-171,-19,1000,38,1
476718,-252,1460,594,-100,1379,-10,-38,1019,38,1
476734,-222,1303,663,-409,1287,80,271,1209,-38,1
476750,-232,1058,564,-409,1287,80,330,1238,242,1
476765,-232,1058,564,-609,1101,171,184,1085,504,1
476781,-50,941,594,-627,953,323,77,876,669,1
476796,80,931,198,-663,935,484,184,990,184,1
476812,464,705,-118,-681,851,727,184,990,184,1
