TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
500000,151,1019,207,-127,953,222,320,933,-203,1
800406,232,931,217,-63,907,141,116,990,-223,1
800421,444,892,376,-45,888,121,116,990,-223,1
800437,434,872,405,-36,879,151,135,961,-184,1
800453,444,872,435,-54,851,242,135,942,-155,1
800468,484,872,405,118,907,20,116,971,-174,1
800484,545,862,415,281,888,60,135,942,-165,1
800500,474,862,326,218,888,141,135,904,-184,1
800515,353,813,247,9,1009,202,174,866,-223,1
800531,373,774,227,-27,1157,90,252,904,-203,1
800546,282,813,138,-127,1203,-60,320,971,-184,1
800562,101,862,49,-472,1194,20,368,1019,-252,1
800578,-212,931,-148,-1000,1203,212,495,1019,-252,1
800593,-565,1098,-277,-1000,1203,212,495,1057,-233,1
800609,-202,1676,39,-1172,1074,151,533,961,-233,1
800625,-363,1137,188,-436,750,121,436,790,-223,1
800640,0,1196,257,-236,842,161,320,752,-194,1
800656,121,1147,99,-136,962,151,242,809,-184,1
800671,-30,1019,168,-136,962,151,262,895,-165,1
800687,-20,1019,168,-136,981,131,194,1000,-155,1
800703,20,1009,237,-154,972,171,155,1009,-97,1
800718,131,1029,247,-227,935,242,116,1009,-126,1
800734,171,1039,257,-236,907,292,87,1000,-155,1
800750,131,1039,257,-63,935,151,97,1028,-145,1
800765,151,941,277,9,935,222,116,1028,-184,1
800781,212,921,306,0,916,232,116,1019,-155,1
800796,292,882,287,-63,907,242,155,1009,-165,1
800812,292,911,237,-163,944,222,194,990,-174,1
800828,303,921,247,-172,972,181,223,1019,-184,1
800843,232,921,217,-172,962,181,262,1000,-184,1
800859,202,980,267,-190,990,191,300,952,-184,1
800875,212,990,227,-172,981,191,300,961,-174,1
800890,202,1009,217,-145,972,191,300,942,-203,1
800906,191,1019,217,-136,981,151,291,933,-165,1
800921,202,1019,227,-145,953,171,271,952,-165,1
800937,191,980,267,-181,962,191,252,942,-194,1
800953,131,1000,198,-200,953,171,242,933,-145,1
800968,151,1039,227,-209,953,151,233,942,-174,1
800984,111,1029,217,-209,972,101,252,942,-165,1
801000,141,1029,207,-236,962,80,281,933,-155,1
801015,101,1058,128,-236,981,171,300,952,-174,1
801031,101,1019,227,-118,1009,131,310,980,-165,1
801046,212,1009,237,-36,1000,202,310,1000,-165,1
801062,242,1000,267,-36,990,222,291,961,-184,1
801078,232,980,227,-109,935,252,271,923,-184,1
801093,191,970,227,-190,935,252,252,942,-184,1
801109,141,1000,207,-227,962,181,252,971,-174,1
801125,80,1029,237,-272,1018,101,271,1019,-174,1
801140,60,1049,207,-290,1046,20,271,1009,-145,1
801156,171,1088,188,-309,1009,50,271,980,-145,1
801171,151,1117,128,-327,981,141,281,961,-174,1
801187,60,1107,148,-354,935,282,262,971,-194,1
801203,20,1049,198,-245,935,232,233,933,-165,1
801218,161,1019,287,-81,916,282,203,933,-174,1
801234,191,931,277,45,907,272,155,980,-213,1
801250,323,892,306,9,944,282,194,1000,-203,1
