TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
420000,50,1039,188,-209,962,90,9,1019,77,1
455421,151,519,287,554,1250,70,67,990,58,1
455437,10,294,346,490,1185,171,48,1161,48,1
455453,-828,9,376,372,1222,-121,48,1161,48,1
455468,-747,284,257,327,990,-40,58,1161,19,1
455484,-353,382,277,0,814,-30,58,1057,-19,1
455500,-252,441,287,100,879,50,29,971,-19,1
455515,-151,529,217,190,907,101,19,942,0,1
455531,-80,676,188,236,870,121,19,971,-9,1
455546,-70,872,138,236,907,121,0,1000,0,1
455562,-40,1000,89,218,888,141,-19,990,0,1
455578,70,1137,59,27,851,101,-19,933,19,1
455593,0,1225,49,-18,916,20,-19,933,19,1
455609,-50,1294,39,-9,916,-30,-58,914,48,1
455625,60,1352,79,-9,916,-30,-48,942,0,1
455640,101,1392,118,-45,907,-30,-58,933,19,1
455656,80,1441,148,-127,916,-40,-29,961,29,1
455671,161,1450,198,-190,953,-121,-38,1009,77,1
455687,616,1686,128,-90,898,40,-87,1038,77,1
455703,1373,1735,554,-154,759,171,-165,952,87,1
455718,1808,2029,-227,-700,935,505,-184,1038,9,1
455734,2333,1470,148,-1009,1166,484,-155,1114,0,1
455750,2171,1284,-168,-518,962,323,-135,1085,-29,1
455765,2202,1098,-277,-27,870,40,-184,1000,-9,1
455781,2383,1235,-79,27,870,50,-165,942,77,1
455796,353,1117,504,54,925,0,-126,980,97,1
455812,-1919,1019,138,309,814,-292,0,1142,97,1
455828,-434,1068,-237,-372,1148,-20,106,1390,106,1
455843,1121,1225,198,-1090,768,383,38,1171,58,1
455859,333,1068,217,-618,870,222,-29,1009,-48,1
455875,-232,990,287,318,962,202,-38,990,-38,1
455890,30,1274,108,-209,935,383,19,1019,-38,1
455906,171,1000,108,-336,1037,222,29,1000,9,1
455921,-60,1029,49,-181,916,121,38,1085,87,1
455937,90,1117,-19,-281,1037,141,58,1180,165,1
455953,101,1039,9,-200,1018,191,58,1200,126,1
455968,121,1049,59,-127,1018,292,9,1190,58,1
455984,141,1049,49,-118,981,353,9,1104,97,1
456000,131,1049,29,-109,1000,333,29,1038,106,1
456015,141,1039,29,-100,1000,313,48,1047,135,1
456031,60,1068,-79,-136,972,282,67,1028,126,1
456046,-121,1137,-534,-127,1000,202,77,1019,203,1
456062,-323,1117,-861,-90,981,141,58,1009,262,1
456078,-292,1107,-574,-263,1018,0,48,1076,262,1
456093,-151,1049,-128,-290,916,0,48,1076,223,1
456109,30,990,277,-218,962,111,48,1047,203,1
456125,131,1029,495,-136,981,212,106,980,155,1
456140,232,1000,594,-45,981,303,135,942,165,1
456156,181,1058,435,-54,972,333,135,942,165,1
456171,101,1029,198,-63,990,292,174,914,194,1
456187,30,1107,-19,-100,990,191,203,990,300,1
456203,-70,1117,-227,-136,1009,141,194,1038,330,1
456218,-171,1098,-316,-163,1009,70,165,1047,300,1
456234,-171,1098,-316,-163,1000,-40,174,1000,300,1
456250,-131,1078,-188,-209,953,-10,203,971,291,1
456265,-80,1039,29,-163,953,40,262,942,271,1
456281,-10,1049,227,-118,962,121,291,914,262,1
456296,70,1000,396,-45,990,141,291,914,262,1
456312,232,990,524,18,981,171,291,952,262,1
456328,313,970,574,-63,944,222,291,952,262,1
456343,292,1000,534,-127,935,171,271,942,242,1
456359,272,1000,405,-127,972,141,262,923,233,1
456375,282,1029,306,-109,962,101,252,933,233,1
456390,272,1019,227,-109,972,90,223,961,262,1
456406,252,1009,158,-63,1027,111,223,933,262,1
456421,272,1058,148,-90,1055,151,242,980,262,1
456437,212,1127,89,-90,1055,151,291,1057,213,1
456453,191,1166,69,-272,1064,191,291,1057,213,1
456468,171,1196,49,-272,1064,191,300,1057,174,1
456484,171,1196,69,-327,1009,202,262,1057,145,1
456500,171,1225,118,-390,1018,232,242,1047,126,1
456515,181,1254,168,-418,962,303,252,1009,145,1
456531,202,1274,287,-500,907,404,252,952,135,1
456546,171,1313,405,-509,925,494,252,952,135,1
456562,191,1372,455,-509,1009,515,281,971,126,1
456578,212,1352,356,-418,1027,494,252,990,97,1
456593,191,1333,287,-290,953,444,223,933,9,1
456609,181,1264,247,172,962,303,194,885,9,1
456625,323,1068,207,172,962,303,155,895,9,1
456640,414,960,138,318,1064,191,165,952,19,1
456656,616,843,89,354,1009,101,184,990,29,1
456671,575,745,39,445,1009,50,184,971,48,1
456687,616,588,-9,554,972,10,174,971,58,1
456703,414,519,128,527,1018,50,165,1000,19,1
456718,-636,274,257,463,1027,0,145,1095,9,1
456734,-777,254,356,263,916,-30,155,1161,-29,1
456750,-494,431,356,118,879,131,165,1095,-58,1
456765,-232,578,386,90,898,131,135,980,0,1
456781,-40,637,396,163,944,121,116,971,-19,1
456796,10,725,297,254,898,40,106,990,-19,1
456812,161,833,277,309,981,-40,97,1066,-19,1
456828,282,960,277,318,1037,-70,67,1057,58,1
456843,707,1107,227,172,1055,-101,97,1038,0,1
456859,1262,1401,-19,-90,1120,-111,77,1019,77,1
456875,1515,1509,-227,-263,1175,-151,97,1066,58,1
456890,2000,1333,-475,-109,1074,-212,135,1142,29,1
456906,2333,1274,-633,63,1046,-282,126,1085,-19,1
456921,2575,1137,-742,272,1074,-353,38,1000,67,1
456937,404,754,-534,663,1092,-434,19,952,97,1
456953,-373,225,-69,609,1000,-454,29,1038,67,1
456968,484,872,-128,-245,870,-141,126,1085,9,1
456984,343,980,-29,-318,898,-101,213,1057,-9,1
457000,292,970,128,-227,972,131,281,1047,-58,1
457015,181,1225,178,-327,1037,444,339,1028,-87,1
457031,141,1323,217,-445,1046,515,349,942,-77,1
457046,10,1294,148,-563,879,484,320,895,-29,1
457062,131,1303,148,-590,935,565,242,857,48,1
457078,70,1352,118,-654,944,535,174,923,-9,1
457093,70,1450,108,-718,972,494,165,990,48,1
457109,70,1450,108,-718,972,494,194,990,87,1
457125,30,1392,128,-718,962,464,174,990,29,1
457140,161,1186,158,-690,1000,343,165,933,87,1
457156,343,921,188,-481,990,252,106,895,97,1
457171,343,921,188,81,935,40,48,933,58,1
457187,404,725,118,81,935,40,-38,952,38,1
