TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
340000,-131,1029,108,127,990,-10,19,1057,-116,1
429203,-111,1058,128,354,1000,-30,-19,885,456,1
429218,-222,1039,148,309,888,0,-19,961,466,1
429234,-161,1019,178,163,944,161,-116,961,339,1
429250,-212,1029,316,172,962,222,-48,961,378,1
429265,-171,1039,277,200,1027,181,145,1123,106,1
429281,-232,1009,227,136,1027,111,165,1095,106,1
429296,-181,1019,207,100,972,40,194,1028,242,1
429312,-161,1029,168,200,972,40,155,1028,291,1
429328,-151,1039,207,245,944,50,126,942,223,1
429343,-151,1019,198,245,944,50,87,914,233,1
429359,-181,1019,247,263,888,60,97,866,281,1
429375,-101,1068,188,336,888,20,165,838,300,1
429390,-151,1068,168,409,861,-30,184,790,300,1
429406,-161,1127,217,481,851,-50,174,742,310,1
429421,-50,1323,237,581,824,-80,126,742,203,1
429437,-80,1450,346,736,824,70,-58,885,-9,1
429453,-131,1460,277,754,1000,70,-87,1142,-116,1
429468,30,1774,39,636,1074,40,135,1133,174,1
429484,222,1784,99,700,1277,-111,533,857,320,1
429500,121,1803,198,972,1324,-171,184,914,223,1
429515,151,1598,287,872,1222,-131,-38,1114,213,1
429531,0,1196,356,627,1370,-40,-116,1104,281,1
429546,-262,774,495,190,1222,141,67,990,262,1
429562,-555,450,584,-245,1037,343,242,933,155,1
429578,-464,372,445,-527,916,393,339,1095,38,1
429593,353,254,336,-800,861,383,436,1171,-9,1
429609,535,39,356,-681,1046,393,378,1161,29,1
429625,444,225,277,-336,990,252,233,1266,58,1
429640,444,225,277,-381,833,151,126,1142,174,1
429656,585,264,316,-409,666,131,77,1085,106,1
429671,555,303,267,-400,657,80,106,1066,155,1
429687,424,333,267,-490,712,30,135,1019,262,1
429703,272,441,257,-572,740,60,155,923,330,1
429718,212,568,405,-636,712,141,184,857,281,1
429734,343,794,207,-600,694,90,184,857,281,1
429750,-1959,1078,1000,-336,759,-40,194,838,271,1
429765,-404,1323,504,-145,861,50,194,838,271,1
429781,-1414,1656,-39,-227,1092,60,174,809,135,1
429796,-3323,3009,-405,854,1305,-717,165,800,155,1
429812,-5000,4784,-1207,3945,2194,-212,194,847,87,1
429828,2878,-2117,-227,-600,435,-909,242,1438,106,1
429843,949,950,306,-445,898,-595,-165,1361,97,1
429859,949,950,306,163,879,90,67,800,242,1
429875,-777,1401,445,545,888,292,155,847,242,1
429890,-141,1313,49,-236,1055,111,194,809,145,1
429906,-505,705,594,-200,1064,90,271,1104,-29,1
429921,-353,1147,405,427,1018,151,320,1190,-19,1
429937,171,1137,-29,536,916,70,184,1133,135,1
429953,30,1058,128,145,1074,131,38,1057,330,1
429968,60,950,178,136,1055,121,-77,1085,456,1
429984,-40,1049,168,127,1046,191,-67,1161,310,1
430000,-141,1078,237,81,1055,121,48,1161,174,1
430015,-171,1000,287,81,1055,121,165,1047,203,1
430031,-111,990,267,145,972,80,262,1000,145,1
430046,-121,1019,257,209,972,30,320,1009,38,1
430062,-131,1019,198,272,944,-10,310,971,29,1
430078,-60,1000,178,290,898,-30,291,847,77,1
430093,-10,990,168,381,879,-70,194,790,155,1
430109,10,1029,158,372,888,-30,106,819,165,1
430125,-20,1000,267,290,879,40,-19,933,165,1
430140,-20,1000,267,290,879,40,-48,1000,252,1
430156,-60,1009,267,272,935,80,-29,952,252,1
430171,-40,1029,237,272,935,80,77,980,252,1
430187,-40,1029,237,300,925,111,116,952,233,1
430203,-10,1000,247,254,944,111,135,980,242,1
430218,-70,1019,227,181,972,131,165,1009,233,1
430234,-141,1029,267,181,972,131,165,1019,242,1
430250,-101,1009,287,200,972,141,145,1028,233,1
430265,-101,1009,287,154,990,121,155,1028,242,1
430281,-101,1009,217,209,981,111,135,1028,242,1
430296,-90,1019,217,172,972,80,116,990,262,1
430312,-90,1019,217,181,962,80,126,952,271,1
430328,-80,1039,237,245,962,50,135,933,291,1
430343,-60,1039,237,190,972,70,145,952,291,1
430359,-131,1019,198,227,944,80,174,1000,203,1
430375,-101,1049,178,272,962,40,126,1000,194,1
430390,-90,1068,217,336,953,30,145,990,165,1
430406,-101,1058,207,372,907,30,145,895,203,1
430421,-111,1068,198,363,935,70,106,895,174,1
430437,-70,1107,247,409,944,121,-29,1038,87,1
430453,-70,1186,257,427,1009,90,19,1171,97,1
430468,-111,1186,306,436,1000,30,252,1057,67,1
430484,-80,1147,316,500,916,20,233,866,203,1
430500,-10,1215,326,481,981,-10,48,857,223,1
430515,80,1411,198,554,1111,-60,-97,1038,194,1
430531,141,1578,69,681,1212,-141,-97,1142,145,1
430546,90,1519,79,645,1175,-151,0,1057,97,1
430562,60,1392,108,481,1111,30,126,980,48,1
430578,-111,1166,227,163,1046,80,242,961,106,1
430593,-181,921,386,-200,962,171,271,990,67,1
430609,-232,598,495,-463,944,222,252,1000,-67,1
430625,-111,372,554,-763,972,262,310,1028,145,1
430640,383,98,396,-809,842,252,262,1180,223,1
430656,515,98,306,-618,768,242,233,1028,233,1
430671,474,98,217,-509,638,161,242,933,194,1
430687,545,176,198,-500,675,121,223,895,165,1
430703,474,303,148,-527,666,161,203,819,145,1
430718,222,539,-69,-563,722,121,165,780,184,1
430734,-131,970,217,-427,907,101,155,838,291,1
430750,-646,1107,326,-345,1009,80,155,914,213,1
430765,-1727,1539,514,172,1092,-181,58,828,203,1
430781,-5000,4235,-1633,3809,2129,-505,213,1019,271,1
430796,4323,-98,-930,-481,907,-1070,87,1638,-19,1
430812,878,225,445,-200,861,-313,-48,1400,-29,1
430828,-969,1549,-811,563,694,212,106,990,38,1
430843,-131,1480,405,218,1046,212,407,542,339,1
430859,-161,754,574,27,879,313,417,752,87,1
430875,-80,1088,257,445,1027,70,310,838,155,1
430890,-191,1088,-9,563,842,-90,174,942,291,1
430906,212,1078,29,681,879,-50,-135,1114,252,1
430921,-151,1156,336,554,935,-10,-281,1076,310,1
430937,-161,1196,326,463,898,30,-213,895,291,1
430953,70,1186,217,418,916,70,-19,828,262,1
430968,70,1186,217,-345,1037,151,233,933,271,1
430984,50,1000,188,-781,1129,151,485,1304,0,1
431000,-494,725,-79,-827,1250,141,582,1428,-194,1
431015,-333,745,227,-345,1064,90,475,1295,-145,1
431031,-373,852,227,-45,981,20,213,1095,38,1
431046,-212,1000,99,72,1074,-20,-9,1028,194,1
431062,-161,1196,89,300,1046,-40,-145,1028,300,1
431078,-90,1127,148,336,944,-70,-242,1038,281,1
431093,-131,1058,128,263,916,-121,-145,933,223,1
431109,-171,1107,188,372,1018,-252,48,857,271,1
431125,30,1274,178,627,981,-191,155,971,116,1
431140,30,1274,178,590,925,-121,145,1047,0,1
431156,-20,1235,79,654,1000,-90,116,1009,106,1
431171,30,1264,69,527,1037,-30,48,904,407,1
431187,-10,1274,188,127,962,70,106,857,359,1
431203,-121,1078,207,-281,898,50,262,809,339,1
431218,-181,872,188,-372,851,50,378,838,203,1
431234,-373,715,158,-227,925,80,407,885,87,1
431250,-363,735,118,-227,925,80,349,1000,19,1
431265,-242,852,79,-18,925,141,184,1076,135,1
448078,-101,892,188,136,879,131,58,809,446,1
448093,-212,843,227,18,898,232,48,733,495,1
448109,-262,921,247,-18,953,202,184,742,359,1
448125,-202,1088,237,90,1000,131,320,819,252,1
448140,-60,1127,217,445,990,10,427,1047,48,1
448156,-121,1107,118,427,953,-101,485,1161,-29,1
448171,-151,1068,108,263,935,-101,320,980,233,1
448187,-191,1019,158,109,962,-20,135,857,485,1
448203,-242,1009,188,118,990,101,19,885,543,1
448218,-202,1019,217,154,972,131,48,952,427,1
448234,-161,1088,227,227,1027,131,165,895,368,1
448250,-141,1147,198,318,1037,60,300,942,242,1
448265,-121,1088,188,290,1018,50,349,1066,233,1
448281,-181,1049,148,172,1027,20,368,1076,203,1
448296,-303,823,99,-227,1027,-10,359,1047,213,1
448312,-444,735,49,-481,981,20,339,961,339,1
448328,-343,754,128,-409,972,101,349,904,262,1
448343,-333,794,207,-236,972,121,359,885,233,1
448359,-353,784,128,-227,972,111,339,1019,29,1
448375,-363,686,39,-354,907,111,291,1057,135,1
448390,-383,676,-9,-509,916,161,252,1000,174,1
448406,-181,1215,158,-36,1129,0,184,895,281,1
448421,80,1588,346,827,1268,-101,242,961,310,1
448437,90,1333,178,909,1027,-151,281,1190,281,1
448453,-141,990,29,290,805,-202,271,1314,-9,1
448468,-232,941,128,-27,907,-151,213,933,0,1
448484,-141,1049,217,227,935,40,281,580,456,1
448500,-40,1107,257,463,870,111,252,552,728,1
448515,-131,1088,217,472,916,151,223,771,466,1
448531,-101,1039,217,327,925,90,184,1028,281,1
448546,-161,1019,207,281,944,20,194,971,398,1
448562,-141,1058,188,336,916,-40,271,780,475,1
448578,-121,1058,138,336,916,-40,320,733,466,1
448593,-121,1058,138,527,842,-111,339,704,368,1
448609,-40,1166,207,763,777,-50,252,666,262,1
448625,30,1303,257,900,814,80,233,771,145,1
448640,10,1549,326,790,990,212,165,990,87,1
448656,-90,1617,396,663,1296,121,242,1200,97,1
448671,161,1490,168,781,1462,-90,718,1009,436,1
448687,121,1392,227,636,1296,-80,485,752,650,1
448703,121,1392,227,354,1175,-60,145,828,446,1
448718,-101,1147,297,9,1120,40,48,1028,339,1
448734,-171,872,346,-300,1046,161,194,1009,378,1
448750,-404,676,306,-372,944,262,359,923,359,1
448765,-363,529,346,-463,944,272,504,980,145,1
448781,111,401,237,-445,925,303,504,980,320,1
448796,404,343,178,-300,944,232,436,1085,291,1
448812,393,392,207,-281,833,121,349,1085,320,1
448828,242,509,297,-272,805,50,291,1009,330,1
448843,90,598,306,-245,814,70,300,904,398,1
448859,10,676,316,-254,842,111,349,876,427,1
448875,10,676,316,-190,787,111,339,885,398,1
448890,-111,784,386,-163,787,161,359,885,378,1
448906,-181,901,346,-145,796,121,359,857,368,1
448921,-252,960,336,-9,777,101,368,847,359,1
448937,-383,1068,257,-100,833,70,349,847,330,1
448953,-383,1068,257,-27,851,0,330,847,233,1
448968,-494,1078,277,72,953,-121,349,876,300,1
448984,-585,1147,237,36,1000,-151,359,866,475,1
449000,-616,1127,108,-9,962,-101,359,790,533,1
449015,-575,1519,-207,345,907,80,398,685,572,1
449031,-2383,2598,-1881,2181,1046,-161,417,657,446,1
449046,-1222,2735,-871,1172,1296,-555,349,914,281,1
449062,2090,-235,970,-36,564,-323,281,1009,330,1
449078,171,921,-49,381,888,-393,194,1161,0,1
449093,-424,1333,0,481,1018,-101,242,1028,67,1
449109,60,892,534,-236,851,131,427,838,368,1
449125,-666,1029,405,-636,1287,191,330,1095,203,1
449140,-212,960,336,-245,1185,80,368,1285,-58,1
449156,-313,1156,316,236,1101,212,320,1266,135,1
449171,70,1078,118,445,990,141,223,1066,184,1
449187,242,931,148,445,990,141,135,876,514,1
449203,50,1049,227,363,916,121,58,790,543,1
449218,30,1029,217,436,898,151,87,819,611,1
449234,40,1029,128,409,907,101,106,857,621,1
449250,-191,1049,297,190,962,111,281,1019,359,1
449265,-222,1039,356,100,1027,111,398,1095,116,1
449281,-40,1009,297,181,1009,181,417,961,106,1
449296,30,1009,237,263,953,222,436,847,339,1
449312,10,990,227,281,953,161,368,847,456,1
449328,-30,1029,188,281,981,90,271,914,310,1
449343,-80,980,257,218,1055,40,300,933,174,1
449359,-80,1009,247,281,851,90,262,904,233,1
449375,-131,1029,237,200,935,60,310,847,310,1
449390,-80,1019,267,172,935,60,291,838,310,1
449406,70,1019,188,290,888,111,281,819,320,1
449421,-90,1039,188,327,916,60,310,838,320,1
449437,-50,1049,168,390,879,20,310,847,320,1
449453,-60,1049,277,445,879,10,310,847,320,1
449468,50,1058,277,454,861,50,349,828,281,1
449484,-121,1039,257,472,861,20,359,752,359,1
449500,-60,1137,168,518,851,-50,300,704,378,1
449515,141,1294,257,672,824,111,165,790,271,1
449531,-70,1235,356,645,935,141,48,1114,87,1
449546,-161,1215,316,509,935,40,223,971,165,1
449562,-90,1274,336,336,1037,30,504,609,572,1
449578,60,1450,207,327,1157,40,388,809,485,1
449593,131,1607,69,472,1231,50,252,1047,456,1
449609,121,1598,148,681,1277,-20,203,1228,262,1
449625,30,1421,207,563,1212,0,213,1066,213,1
449640,-80,1176,277,336,1083,90,330,961,97,1
449656,-161,990,425,45,1037,101,427,923,126,1
449671,-252,745,435,-145,1000,191,485,942,174,1
449687,-363,647,415,-309,990,191,495,990,242,1
449703,20,598,346,-381,962,262,504,990,271,1
449718,282,539,227,-236,1000,232,475,952,291,1
449734,151,539,227,-154,944,151,427,952,233,1
449750,212,578,257,-118,879,101,388,952,223,1
449765,202,539,277,-127,814,60,339,914,291,1
449781,141,539,287,-163,777,80,339,866,349,1
449796,50,568,306,-190,805,50,349,857,388,1
449812,40,598,297,-218,796,50,330,866,378,1
449828,-30,598,297,-281,787,80,359,857,378,1
449843,-70,696,267,-318,759,80,368,847,339,1
449859,-181,784,257,-427,805,40,378,847,359,1
449875,-303,784,198,-345,824,10,368,895,281,1
449890,-383,843,128,-209,833,-30,388,895,281,1
449906,-494,921,118,-290,888,10,407,800,417,1
449921,-717,1078,79,-418,944,80,378,723,456,1
449937,-878,1460,217,-54,990,191,330,733,359,1
449953,-353,2156,-940,390,870,101,310,752,436,1
449968,-5000,4568,-227,3190,1509,-202,368,780,524,1
449984,4060,-705,-128,1009,953,-232,446,1228,349,1
450000,1292,323,445,-590,527,-515,155,1304,-67,1
450015,-949,1411,-148,0,1101,-333,330,838,359,1
