TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
670000,-151,990,267,63,990,80,-9,1019,0,1
849312,0,705,-9,-354,500,-70,-38,580,-19,1
849328,-60,872,-178,-354,500,-70,-38,476,9,1
849343,40,1000,-316,-436,398,101,-29,504,-9,1
849359,-30,1088,-178,-509,407,80,29,495,-19,1
849375,222,1294,-396,-509,407,80,106,561,-48,1
849390,121,1490,-396,-381,574,30,174,638,-38,1
849406,121,1490,-396,-336,657,10,271,790,-77,1
849421,-171,1607,-346,-327,620,303,349,904,29,1
849437,-616,1735,-227,-327,620,303,407,1009,38,1
849453,-959,1950,-69,-9,666,626,368,1038,184,1
849468,-1242,1931,39,445,972,60,339,1066,184,1
849484,-1323,1598,99,981,1324,-424,291,1295,29,1
849500,-1686,1686,-297,1463,1222,-101,223,1314,-67,1
849515,-1808,1686,-643,1554,1231,10,203,1219,0,1
849531,-1808,1686,-643,763,1018,111,262,1047,155,1
849546,-1585,1588,-603,109,814,292,271,761,135,1
849562,-1494,1264,-475,-554,1138,-232,-19,1133,-291,1
849578,-949,1176,-118,-845,990,-343,-446,1504,-300,1
849593,1131,539,2623,1427,1416,-212,-300,1276,-281,1
849609,1585,1803,-415,790,1351,-60,-533,1285,-213,1
849625,-2373,1558,386,-1063,1296,282,-378,1095,-106,1
849640,272,1676,89,-1154,824,464,-378,1047,-145,1
849656,272,1676,89,-681,1083,505,-310,1114,-126,1
849671,90,911,247,190,1120,373,-242,1247,-97,1
849687,-202,803,415,309,953,313,-77,1180,-135,1
849703,-515,1117,346,-109,1083,323,-29,1038,-145,1
849718,-515,1117,346,-309,1101,363,-19,1028,19,1
849734,-343,931,326,-372,1120,383,29,1095,58,1
849750,-191,1058,277,-172,981,353,-19,1028,77,1
849765,-282,1009,336,90,1018,313,-67,933,58,1
849781,-373,960,356,72,925,252,-106,847,58,1
849796,-353,921,415,100,925,202,-106,780,48,1
849812,-272,941,405,63,907,171,-106,780,48,1
849828,-151,921,435,54,888,171,-87,790,19,1
849843,-232,960,376,72,935,101,-87,838,77,1
849859,-222,931,435,63,925,111,-19,866,67,1
849875,-262,931,405,63,972,101,29,876,77,1
849890,-212,921,376,145,953,121,58,933,48,1
849906,-202,950,346,163,953,202,116,895,87,1
849921,-242,960,396,254,972,191,174,809,155,1
849937,-232,970,465,300,944,181,155,828,155,1
849953,-242,990,475,418,898,191,116,809,184,1
849968,-242,990,435,445,935,191,67,819,203,1
849984,-232,990,504,436,1138,70,97,885,165,1
850000,-252,1039,584,581,1129,-90,77,1095,135,1
850015,-191,1323,356,654,1129,-70,97,1142,194,1
850031,-161,1431,336,845,1148,-151,126,1219,126,1
850046,-10,1490,297,1172,1342,-131,58,1114,-48,1
850062,-121,1627,524,1527,1481,-555,184,1209,-126,1
850078,-101,2039,891,1363,1564,-838,-19,1161,-271,1
850093,70,2529,1168,618,1574,-272,-126,961,-29,1
850109,70,2529,1168,-363,1629,20,-184,1038,106,1
850125,454,2696,1029,-1027,1712,40,-203,1238,-9,1
850140,303,2480,742,-1027,1712,40,-184,1542,-135,1
850156,151,2205,524,-1100,1898,333,-19,1742,-126,1
850171,191,1343,475,-500,1509,444,38,1571,-19,1
