TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
250000,121,1029,108,81,962,191,67,1019,-29,1
454640,222,1009,237,172,1037,262,-77,942,-97,1
454656,373,921,237,254,1046,232,-87,971,-77,1
454671,444,882,138,300,1064,191,-97,1019,-67,1
454687,444,882,138,300,990,151,-58,1066,-48,1
454703,161,754,69,254,953,181,-48,1142,-48,1
454718,-151,656,237,200,962,191,-38,1152,-67,1
454734,-212,568,227,181,935,171,-58,1076,-48,1
454750,-242,539,237,154,916,121,-97,1038,-48,1
454765,-242,539,237,145,898,171,-106,1009,-58,1
454781,-191,627,198,100,888,141,-97,1000,-58,1
454796,-111,617,217,100,879,90,-97,990,-48,1
454812,-40,666,227,118,861,80,-87,990,-38,1
454828,-40,666,227,145,879,40,-58,961,-48,1
454843,20,715,207,100,842,50,-58,980,-38,1
454859,70,813,158,81,907,90,-38,980,-29,1
454875,131,843,128,0,888,191,-58,952,-58,1
454890,161,921,148,-154,907,272,-87,971,-48,1
454906,141,1009,158,-290,907,303,-106,933,0,1
454921,181,1098,188,-418,925,313,-87,914,58,1
454937,181,1156,227,-490,1000,212,-87,923,38,1
454953,313,1284,217,-600,990,121,-77,942,-9,1
454968,515,1303,277,-563,981,141,-58,1000,-58,1
454984,595,1421,178,-463,1064,212,-77,1085,-48,1
455000,787,1333,118,-309,1000,222,-87,1114,9,1
455015,878,1166,148,-163,972,80,-87,1066,38,1
455031,666,1196,198,-72,1064,-90,-116,1057,38,1
455046,727,1088,326,27,1111,-60,-155,1104,0,1
455062,1313,1196,-306,27,1111,-60,-116,1161,-77,1
455078,1171,1274,-574,-190,1046,50,-58,1152,19,1
455093,797,1254,-613,-72,953,151,0,1142,-87,1
455109,-656,882,376,127,972,282,0,1142,-87,1
455125,-40,901,277,318,1009,232,135,1019,-106,1
455140,40,1245,158,200,1009,252,135,1019,-106,1
455156,383,1009,138,-63,1074,161,174,1019,-97,1
455171,292,1009,89,-163,1027,151,126,990,-38,1
455187,0,1078,227,-27,1018,181,29,1057,-67,1
455203,10,1029,168,81,1009,191,29,1066,-38,1
455218,40,1019,158,81,1009,212,29,1066,-38,1
455234,161,1019,148,-18,1018,222,38,1047,-29,1
455250,191,1039,148,-109,990,171,48,1000,-19,1
455265,121,1009,178,-181,962,151,48,1000,-19,1
455281,60,1039,178,-145,944,171,29,980,0,1
455296,50,1009,168,-109,935,212,48,961,-9,1
455312,50,1019,148,-90,916,262,67,971,-19,1
455328,50,1029,178,-127,944,252,67,1028,-29,1
455343,70,1000,198,-154,962,232,67,1000,-9,1
455359,70,1019,217,-118,953,242,77,961,-19,1
455375,30,1039,198,-90,972,242,67,971,0,1
455390,40,1039,198,-18,981,252,48,971,29,1
455406,60,1039,188,18,981,242,29,1019,19,1
455421,90,1009,198,18,962,242,19,1038,29,1
455437,111,1009,188,-9,981,242,-19,1066,48,1
455453,80,1039,168,-27,990,212,0,1047,58,1
455468,101,1029,207,-36,972,232,-9,1038,9,1
