TIME,ACCX1,ACCY1,ACCZ1,ACCX2,ACCY2,ACCZ2,ACCX3,ACCY3,ACCZ3,FR
185000,-111,1000,237,-18,990,90,-155,1019,29,1
367640,-141,1147,217,200,981,80,-135,1000,262,1
367656,-111,1284,227,245,1037,40,-87,1180,184,1
367671,-121,1284,297,390,1083,-40,38,1228,87,1
367687,-20,1362,366,390,1083,-40,67,1076,48,1
367703,-50,1578,495,609,1009,-30,-252,828,87,1
367718,161,2049,693,772,1083,151,-145,1371,-291,1
367734,313,1950,594,800,1500,-343,-174,1390,-29,1
367750,212,1941,356,609,1444,-272,-271,1200,203,1
367765,141,1764,277,609,1444,-272,-291,1066,155,1
367781,-171,1441,237,127,1462,20,-184,1009,29,1
367796,-202,1039,148,-254,1166,191,-87,1076,-126,1
367812,-141,754,99,-590,1166,323,-9,1076,-67,1
367828,90,519,99,-718,1120,393,0,1047,58,1
367843,757,245,118,-536,1250,303,0,1047,58,1
367859,1101,78,534,-236,1333,111,-58,1123,-29,1
367875,323,343,168,-263,898,111,-97,1057,48,1
367890,30,460,59,-163,805,-20,-97,1057,48,1
367906,50,441,89,-545,898,-20,-87,980,48,1
367921,40,509,9,-663,861,70,-48,923,106,1
367937,40,509,9,-672,833,90,-58,838,174,1
367953,-20,676,-69,-654,675,10,-67,847,135,1
367968,0,862,-158,-572,592,-161,-87,819,145,1
367984,-80,1049,-79,-481,555,-333,-58,828,184,1
368000,-101,1186,29,-327,685,-393,-38,904,165,1
368015,-414,1460,118,-90,731,-232,48,961,87,1
368031,-707,1666,326,118,787,90,106,971,97,1
368046,-1191,1872,227,190,944,0,145,933,97,1
368062,-1616,1549,198,436,1101,-262,145,1019,58,1
368078,-1676,1274,435,590,1268,-202,97,1066,-9,1
368093,-1565,1117,425,690,1157,20,29,1104,-48,1
368109,-1585,1058,326,518,1000,50,-67,1104,0,1
368125,-1656,980,267,327,990,-30,-97,1028,58,1
368140,-1373,901,366,100,953,333,-135,980,155,1
368156,-1353,843,287,-972,379,242,-116,904,242,1
