matrix_tr1,matrix_tr2,matrix_tr3
483.786560990236,514.301398287796,1
500.420247424365,522.473250829129,1
505.30841682188,533.338302984895,1
501.255448223724,517.054450023749,1
507.552284087701,532.802411774644,1
517.142366667244,515.84376500492,1
506.209188337209,526.971377282531,1
491.638567775542,535.670859785229,1
489.428529655714,518.966584972221,1
497.756572271406,511.314736794411,1
500.184154748452,530.543349787907,1
495.020442785949,536.411543924147,1
495.101657357357,518.186272558891,1
499.942189949344,511.362597162478,1
488.00877422875,526.681974869445,1
479.23321837919,519.181781454597,1
495.920866948179,496.719084576966,1
491.353030747006,498.465770654766,1
490.064373711833,521.812033676804,1
485.244796064011,520.463220853048,1
490.992310917317,525.846092625846,1
462.735755796992,521.019307863696,1
480.060944112549,535.485278525233,1
491.759690545378,517.61960391833,1
493.409591896995,507.353791510844,1
492.060607880949,519.518718726306,1
511.077503967389,535.905502337175,1
534.283205619198,542.776139650588,1
533.850271088886,527.896902142064,1
552.519056482474,508.014539055558,1
550.193479863251,524.318106667878,1
568.806085406968,501.428581023523,1
556.052249654212,515.226557137665,1
537.861494468442,523.830658106525,1
515.565253283158,519.945140147932,1
508.570995847981,516.260088563516,1
532.953871539486,520.706092462697,1
526.160495752971,535.006729193312,1
514.980231435932,524.095929576637,1
499.420569087487,529.858965101351,1
506.733286755342,519.947709008099,1
517.336805730366,504.231425927453,1
517.407820455713,505.822464432222,1
519.992996183803,508.671131298018,1
532.344712429009,526.878575568841,1
519.485389097478,521.310471208847,1
504.280515419172,542.198939558436,1
511.101772343067,563.341988661212,1
526.047103099982,508.351750582412,1
519.224273330456,509.155406324193,1
518.222331475993,534.921566174208,1
525.011970483895,519.347995514994,1
521.71294109401,520.719289302863,1
528.517844885532,520.130158963187,1
516.830732390357,512.917927365883,1
509.246871864128,528.004875725991,1
509.482717710453,535.034172317503,1
516.538282909079,509.789268103932,1
495.652922895921,514.164169864434,1
514.425851842675,518.227443953926,1
508.521168404646,517.466884093821,1
494.964061601301,532.132812774664,1
497.710023662104,515.000262032208,1
511.132452490811,501.045706057891,1
521.44645294956,512.437910900411,1
519.245930353444,534.419019266112,1
521.091207858006,527.344378400114,1
514.704667210003,524.886298580771,1
511.17258810034,519.135608718218,1
510.92705696073,502.046067994598,1
524.548989862171,525.6659234279,1
527.410748117409,522.086116741556,1
517.688432911172,523.440754732241,1
