B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
420000,50,1039,188,-209,962,90,9,1019,77,1
420062,50,1019,178,-209,972,111,19,1019,106,1
420125,60,1009,168,-218,953,101,29,1009,97,1
420187,50,1019,178,-190,962,101,9,1028,67,1
420250,40,1019,168,-190,962,90,38,1019,58,1
420312,40,1039,188,-227,962,111,19,1009,58,1
420375,50,1049,178,-218,962,90,29,1009,48,1
420437,70,1019,178,-209,972,101,19,1019,77,1
420500,60,1019,178,-200,981,70,9,1028,87,1
420562,50,1029,148,-218,962,101,19,1019,77,1
420625,50,1029,168,-209,972,90,29,1009,77,1
420687,70,1029,178,-200,972,90,9,1019,97,1
420750,40,1019,178,-200,962,80,29,1009,67,1
420812,40,1029,168,-209,962,101,29,1009,87,1
420875,60,1019,158,-227,962,101,9,1019,77,1
420937,40,1009,198,-200,962,90,19,1019,87,1
421000,50,1009,158,-209,962,111,29,1019,77,1
421062,50,1019,178,-218,972,111,19,1019,97,1
421125,60,1019,188,-209,962,90,38,1019,77,1
421187,40,1029,178,-227,953,111,29,1009,87,1
421250,50,1029,178,-200,962,101,19,1019,106,1
421312,40,1019,178,-200,953,90,19,1028,77,1
421375,60,1029,178,-209,953,101,19,1019,87,1
421437,60,1019,188,-209,962,131,19,1009,97,1
421500,50,1029,198,-209,972,90,29,1019,97,1
421562,60,1039,207,-227,953,111,38,1009,77,1
421625,60,1029,168,-190,962,111,38,1028,106,1
421687,60,1039,168,-190,972,121,29,1019,87,1
421750,40,1009,198,-254,953,131,9,1009,77,1
421812,70,1029,178,-209,953,101,29,1000,87,1
421875,60,1029,178,-209,972,111,19,1019,77,1
421937,80,1039,168,-190,972,90,29,1009,97,1
422000,70,1029,178,-218,972,90,48,1009,116,1
422062,70,1019,158,-209,953,101,38,1000,87,1
422125,60,1029,198,-209,962,101,58,1009,97,1
422187,60,1029,168,-218,972,111,58,1028,87,1
422250,60,1029,168,-209,981,111,58,1019,97,1
422312,60,1049,158,-227,962,80,48,1009,77,1
422375,50,1049,138,-209,962,90,67,1019,87,1
422437,70,1029,138,-200,981,80,58,1019,77,1
422500,70,1039,128,-245,953,111,77,1019,87,1
422562,30,1058,158,-390,888,191,67,990,87,1
422625,80,1098,168,-318,879,222,58,952,67,1
422687,90,1186,99,-309,1046,161,48,1028,48,1
422750,121,1107,148,-263,990,80,19,1000,67,1
422812,111,941,168,-18,1074,-101,-9,1095,106,1
422875,-434,833,445,-263,962,303,19,1028,48,1
422937,-50,1117,287,-172,990,242,-58,1000,97,1
423000,-262,1098,39,-354,907,-20,-87,980,126,1
423062,161,1147,59,-209,694,303,-126,990,106,1
423125,1030,990,99,-290,740,121,-165,923,174,1
423187,606,1549,-29,-836,907,343,19,1276,-9,1
423250,181,892,405,-109,759,-70,-106,942,-38,1
423312,60,970,158,-218,1037,131,135,1095,19,1
423375,30,1019,118,-263,981,40,106,1057,87,1
423437,70,1009,227,-254,962,252,48,980,-29,1
423500,80,1019,207,-218,981,171,58,1047,48,1
423562,80,1019,207,-254,944,171,29,980,48,1
423625,90,1009,207,-254,935,171,77,952,29,1
423687,101,1039,198,-200,981,121,67,1009,97,1
423750,90,1068,198,-309,916,191,9,961,106,1
423812,111,1039,237,-309,888,222,0,971,126,1
423875,171,1176,237,-163,990,313,97,961,29,1
423937,0,1431,128,-709,1018,353,77,1228,135,1
424000,40,1382,297,-436,972,191,0,1009,29,1
424062,343,1558,346,-127,870,434,145,933,0,1
424125,313,715,138,454,1333,50,116,990,106,1
424187,-595,313,465,-27,916,-101,97,1028,29,1
424250,-393,1078,0,281,953,-90,38,1009,67,1
424312,20,1549,59,27,972,-191,-38,952,67,1
424375,1252,1784,0,136,675,90,-165,866,77,1
424437,1646,1382,-524,-636,851,363,-67,1047,116,1
424500,-1070,1225,386,-336,1185,-262,87,1390,194,1
424562,1030,1215,534,-90,1342,262,184,1419,29,1
424625,10,1088,198,-209,1027,252,194,1019,-38,1
424687,40,1029,237,-190,1009,151,145,952,-19,1
424750,70,1029,217,-236,953,171,116,1019,38,1
424812,20,1019,237,-309,888,222,106,933,9,1
424875,60,1009,237,-263,944,141,77,971,38,1
424937,90,1019,277,-209,962,171,97,1000,77,1
425000,101,1000,267,-209,962,171,67,980,77,1
425062,101,1009,237,-190,953,212,9,952,106,1
425125,70,1058,227,-290,907,202,-9,1019,87,1
425187,141,1068,277,-318,879,303,67,942,106,1
425250,242,1088,237,-36,1064,80,-77,1076,38,1
425312,30,1490,188,-863,962,454,174,1276,174,1
425375,-121,1578,287,-800,962,313,0,914,-9,1
425437,191,1147,346,136,1009,272,67,885,48,1
425500,-1020,49,386,418,1240,20,87,1219,116,1
425562,-313,617,316,136,981,50,48,990,106,1
425625,-70,1215,168,136,888,-20,-29,952,135,1
425687,101,1588,257,-136,796,-171,-29,942,135,1
