B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
670000,-90,1000,257,-245,962,10,-135,1019,-87,1
670062,-70,1009,257,-245,953,30,-116,1000,-77,1
670125,-80,1000,277,-236,953,20,-116,1009,-97,1
670187,-101,1009,267,-245,953,40,-116,1019,-97,1
670250,-90,1009,257,-236,972,20,-97,1009,-67,1
670312,-80,1009,267,-263,944,30,-106,980,-67,1
670375,-80,990,257,-254,972,30,-97,990,-77,1
670437,-70,1009,277,-245,962,20,-97,971,-77,1
670500,-80,1000,287,-254,962,30,-116,1009,-97,1
670562,-80,1009,277,-254,953,20,-116,1009,-97,1
670625,-101,1009,257,-254,962,30,-106,1009,-77,1
670687,-70,1000,287,-254,962,50,-116,1000,-97,1
670750,-90,1000,277,-263,953,40,-106,1009,-77,1
670812,-90,1000,267,-254,953,40,-87,990,-87,1
670875,-80,1000,287,-263,953,50,-116,1009,-87,1
670937,-70,1009,277,-254,953,30,-116,1009,-87,1
671000,-90,1009,267,-245,944,40,-116,1019,-106,1
671062,-101,1000,277,-254,962,40,-116,1009,-87,1
671125,-60,1019,247,-245,953,40,-97,990,-77,1
671187,-80,1000,277,-263,972,40,-106,1009,-77,1
671250,-80,1009,257,-245,935,40,-126,1000,-97,1
671312,-80,1009,287,-263,953,60,-106,1000,-67,1
671375,-80,1000,297,-245,953,30,-106,1019,-77,1
671437,-90,990,257,-263,962,10,-116,1009,-97,1
671500,-90,1000,287,-236,944,30,-106,1019,-87,1
671562,-70,1009,267,-254,962,30,-116,1000,-58,1
671625,-90,1009,267,-263,962,60,-106,1009,-77,1
671687,-80,1009,267,-254,962,40,-126,1009,-97,1
671750,-70,1000,287,-254,981,20,-126,1009,-77,1
671812,-70,1009,267,-254,962,40,-116,1019,-97,1
671875,-80,1019,267,-254,962,30,-116,1019,-97,1
671937,-70,1009,257,-236,953,30,-106,1000,-87,1
672000,-70,990,277,-254,953,50,-116,1009,-67,1
672062,-90,1000,277,-245,972,30,-106,1009,-87,1
672125,-70,990,287,-263,953,40,-126,1009,-87,1
672187,-90,1009,277,-263,962,50,-106,1000,-97,1
672250,-70,990,287,-263,962,30,-106,980,-77,1
672312,-80,1000,257,-254,972,30,-97,1009,-77,1
672375,-70,1000,267,-263,962,10,-116,1009,-106,1
672437,-80,980,277,-218,953,30,-116,1019,-106,1
672500,-80,1019,287,-254,962,50,-106,990,-106,1
672562,-70,1000,287,-227,962,30,-116,1000,-97,1
672625,-111,1009,267,-245,953,50,-126,1009,-106,1
672687,-80,1000,257,-254,981,30,-116,1000,-87,1
672750,-80,1009,277,-254,972,50,-126,1038,-106,1
672812,-70,980,267,-236,972,30,-106,1009,-77,1
672875,-70,1019,247,-245,953,20,-106,1019,-97,1
672937,-101,1009,277,-263,953,50,-126,1038,-116,1
673000,-60,1000,267,-218,944,40,-135,1009,-97,1
673062,-70,990,287,-245,962,40,-106,1009,-116,1
673125,-80,990,287,-254,962,30,-116,1009,-67,1
673187,-80,1000,257,-254,962,20,-116,1009,-87,1
673250,-80,1019,257,-254,962,30,-106,990,-87,1
673312,-90,1009,267,-245,972,30,-116,1000,-87,1
673375,-90,1000,267,-245,962,10,-135,1019,-87,1
673437,-80,1000,277,-254,972,30,-126,1000,-87,1
673500,-70,1000,277,-245,962,40,-126,990,-106,1
673562,-70,1019,267,-245,944,20,-116,1000,-87,1
673625,-80,1009,257,-254,962,40,-116,1019,-97,1
673687,-70,1009,257,-236,925,40,-135,1000,-97,1
673750,-70,1009,267,-254,972,30,-126,1009,-106,1
673812,-80,1009,267,-218,962,40,-116,1009,-106,1
673875,-60,980,277,-245,953,30,-126,990,-106,1
673937,-60,990,257,-263,972,20,-116,1000,-77,1
674000,-60,1000,257,-227,981,30,-116,1028,-106,1
674062,-80,1009,277,-245,953,50,-145,1009,-77,1
674125,-70,1000,267,-236,953,40,-135,1009,-106,1
674187,-80,1000,277,-254,981,50,-126,1009,-106,1
674250,-70,1009,277,-245,981,30,-126,1000,-87,1
674312,-70,1029,277,-245,953,30,-126,1000,-106,1
674375,-60,1009,277,-245,953,10,-97,1000,-97,1
674437,-80,1019,257,-245,972,30,-126,1019,-116,1
674500,-70,1009,277,-254,953,30,-97,990,-87,1
674562,-90,1009,267,-218,953,40,-126,1009,-106,1
674625,-90,1019,267,-245,962,20,-135,1019,-97,1
674687,-80,1019,237,-245,944,40,-116,1009,-87,1
674750,-70,1000,277,-236,953,50,-126,1009,-106,1
