B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
500000,151,1019,207,-127,953,222,320,933,-203,1
500062,151,1000,178,-127,953,232,330,942,-194,1
500125,141,1009,188,-127,962,222,320,933,-194,1
500187,131,1000,188,-127,953,212,330,933,-174,1
500250,151,980,198,-154,953,242,330,923,-174,1
500312,161,1019,188,-127,962,242,330,933,-184,1
500375,141,1019,198,-118,972,232,330,914,-203,1
500437,151,1000,188,-127,953,212,330,933,-184,1
500500,161,1009,198,-127,962,232,330,933,-184,1
500562,171,1000,178,-118,962,212,330,933,-194,1
500625,151,1019,198,-109,944,232,320,933,-213,1
500687,141,1019,188,-118,953,212,339,933,-203,1
500750,141,1009,198,-127,972,212,339,923,-213,1
500812,151,1009,178,-127,962,222,330,933,-203,1
500875,151,1009,188,-136,953,202,339,923,-194,1
500937,161,990,198,-118,962,212,330,933,-203,1
501000,161,1019,188,-118,962,212,330,923,-194,1
501062,141,1009,178,-109,972,212,339,923,-194,1
501125,151,1000,168,-118,962,212,330,933,-203,1
501187,151,1009,178,-118,953,222,330,914,-213,1
501250,141,1009,188,-109,953,202,330,933,-194,1
501312,161,1000,188,-127,972,222,310,933,-194,1
501375,151,1000,188,-118,953,232,330,923,-184,1
501437,151,1019,178,-118,962,202,339,923,-213,1
501500,151,1009,198,-118,962,232,339,914,-203,1
501562,151,1009,188,-118,962,212,320,923,-184,1
501625,151,1009,168,-136,962,202,339,933,-203,1
501687,161,1029,178,-109,962,222,339,923,-203,1
501750,161,990,198,-118,962,191,330,923,-184,1
501812,141,1009,188,-118,972,191,339,933,-213,1
501875,131,1009,188,-118,953,212,330,933,-213,1
501937,141,1009,178,-118,962,202,339,933,-194,1
502000,141,1000,168,-127,962,212,320,933,-213,1
502062,131,1029,178,-136,962,232,320,933,-203,1
502125,151,1009,188,-118,944,212,339,923,-194,1
502187,161,1000,178,-118,962,202,330,933,-194,1
502250,151,1000,168,-118,972,222,320,933,-194,1
502312,131,1019,188,-127,962,202,330,923,-203,1
502375,151,1009,198,-118,944,202,330,923,-194,1
502437,151,1019,188,-118,962,212,320,933,-194,1
502500,161,1009,188,-127,972,202,330,923,-194,1
502562,151,1019,188,-109,962,212,310,933,-184,1
502625,141,1009,188,-118,962,202,320,942,-194,1
502687,171,1000,168,-109,962,212,320,933,-213,1
502750,151,1009,188,-109,953,212,330,942,-213,1
502812,141,1009,188,-127,953,212,339,933,-184,1
502875,151,1000,168,-127,990,202,320,933,-213,1
502937,161,1009,178,-127,953,202,339,933,-194,1
503000,141,1009,178,-118,972,202,330,933,-203,1
503062,151,1009,188,-127,962,212,330,933,-184,1
503125,141,1009,198,-127,962,212,330,933,-203,1
503187,151,1029,188,-118,972,212,339,923,-203,1
503250,151,1009,168,-127,972,191,310,923,-203,1
503312,161,1019,178,-136,962,202,330,933,-213,1
503375,151,1019,178,-136,972,202,330,933,-194,1
503437,141,1000,168,-127,953,202,310,942,-203,1
503500,141,1019,188,-118,962,191,320,933,-194,1
503562,151,1019,188,-127,953,222,320,933,-213,1
503625,141,1000,178,-127,962,212,320,914,-223,1
503687,131,1009,188,-136,972,202,320,952,-203,1
503750,141,1019,178,-136,962,212,320,942,-194,1
503812,151,1009,188,-127,981,222,330,923,-184,1
503875,161,1000,178,-127,972,191,320,933,-203,1
503937,141,1009,168,-136,962,212,330,923,-203,1
504000,131,1019,198,-127,972,212,320,933,-194,1
504062,141,1009,178,-136,962,212,320,933,-194,1
504125,131,1019,178,-127,953,212,310,933,-174,1
504187,151,1009,178,-127,962,212,310,942,-203,1
504250,151,1019,178,-145,972,191,310,933,-194,1
504312,161,1019,168,-127,953,222,310,933,-194,1
504375,141,1009,178,-136,953,191,320,942,-194,1
504437,151,1000,198,-136,962,212,310,933,-203,1
504500,141,1000,178,-127,944,212,320,933,-203,1
504562,151,1019,178,-127,962,212,310,942,-203,1
504625,141,1039,148,-136,962,222,310,942,-194,1
504687,151,1009,188,-118,962,222,320,933,-194,1
504750,131,1009,168,-136,962,202,320,942,-184,1
504812,141,1029,168,-145,962,222,310,933,-184,1
504875,141,1009,188,-136,962,202,310,933,-203,1
504937,141,1000,198,-136,953,212,320,923,-184,1
505000,141,1009,178,-136,972,202,310,942,-184,1
505062,151,1009,168,-145,953,222,320,933,-174,1
505125,121,1009,178,-145,962,222,320,933,-203,1
505187,151,1009,188,-136,962,222,320,923,-184,1
505250,161,1000,207,-136,962,212,320,933,-194,1
505312,141,1019,178,-136,962,232,320,942,-203,1
505375,141,1000,188,-145,962,232,320,933,-184,1
505437,151,1000,198,-145,953,232,320,942,-194,1
505500,141,1009,188,-127,953,232,320,933,-184,1
505562,131,1019,188,-163,953,242,310,933,-184,1
505625,131,1019,198,-136,953,202,310,942,-194,1
505687,131,1019,188,-154,953,222,310,933,-194,1
505750,131,1000,207,-136,962,242,320,942,-194,1
505812,121,1009,198,-145,953,222,320,933,-174,1
505875,141,1000,188,-136,962,212,310,933,-194,1
505937,131,1019,188,-145,953,222,300,923,-194,1
506000,141,1039,178,-154,953,222,310,933,-184,1
506062,141,1009,198,-154,962,212,310,942,-203,1
506125,141,1019,207,-136,953,232,310,942,-174,1
506187,121,1009,198,-145,953,212,300,933,-184,1
506250,131,1000,207,-145,962,212,310,933,-184,1
506312,131,1009,178,-163,953,232,300,942,-174,1
506375,121,1009,188,-145,962,222,320,942,-203,1
506437,131,1009,198,-145,962,222,310,942,-194,1
506500,131,1009,178,-136,944,222,320,914,-194,1
506562,131,1009,198,-145,953,222,300,952,-184,1
506625,121,1019,178,-145,953,212,310,942,-184,1
