B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
600000,50,1019,19,-272,953,-50,300,961,-19,1
600062,50,1029,0,-281,962,-70,310,952,-19,1
600125,40,1049,29,-245,953,-30,310,971,-9,1
600187,40,1058,19,-263,962,-50,291,980,29,1
600250,40,1039,0,-272,953,-60,310,952,-19,1
600312,50,1029,0,-245,972,-30,271,980,-19,1
600375,40,1039,19,-254,962,-50,271,980,-19,1
600437,40,1029,0,-272,953,-50,271,980,-29,1
600500,40,1029,0,-263,944,-70,242,980,-48,1
600562,40,1039,0,-272,953,-50,242,980,-48,1
600625,40,1049,19,-263,962,-70,262,990,-48,1
600687,30,1098,69,-245,981,-40,281,990,-48,1
600750,60,950,445,-600,861,-202,291,866,-135,1
600812,-20,1039,316,-181,898,-10,97,990,-106,1
600875,10,696,-9,9,1018,262,58,971,-135,1
600937,-70,1794,-752,-881,1083,-636,427,1133,135,1
601000,20,1058,19,127,1083,303,300,809,-58,1
601062,30,1049,89,-354,898,20,417,980,135,1
601125,40,1068,148,-427,898,111,213,971,38,1
601187,181,1009,59,-100,1064,60,223,971,9,1
601250,50,1039,128,-354,898,50,378,1028,19,1
601312,20,1039,79,-372,925,-30,252,942,-9,1
601375,40,1019,59,-309,935,-20,320,961,-58,1
601437,50,1009,79,-209,981,50,310,961,-38,1
601500,70,1019,79,-209,990,10,291,942,48,1
601562,20,1039,108,-327,916,80,407,942,48,1
601625,60,1029,108,-318,935,80,291,980,38,1
601687,40,1039,79,-245,962,70,320,990,48,1
601750,70,1019,118,-227,962,70,252,980,48,1
601812,60,1039,89,-254,944,60,262,990,9,1
601875,40,1029,89,-281,962,40,252,980,29,1
601937,50,1039,79,-272,953,60,223,1009,9,1
602000,40,1049,108,-272,944,60,233,990,-19,1
602062,30,1029,79,-290,953,30,194,971,-29,1
602125,50,1039,89,-263,953,30,184,980,-19,1
602187,50,1049,69,-254,962,70,203,1009,-38,1
602250,50,1039,69,-263,972,30,203,980,-38,1
602312,60,1019,69,-245,972,50,203,990,-38,1
602375,50,1019,69,-254,962,40,194,1000,-48,1
602437,60,1029,79,-254,953,40,194,1000,-29,1
602500,50,1039,99,-272,953,20,203,1000,-19,1
602562,40,1029,69,-254,972,10,184,1000,9,1
602625,60,1039,59,-236,953,50,203,990,-19,1
602687,50,1039,49,-263,972,20,203,1000,-9,1
602750,40,1029,79,-254,981,20,203,1019,-29,1
602812,40,1039,79,-245,962,40,194,1000,-9,1
602875,60,1039,79,-254,953,40,194,1009,-38,1
602937,40,1029,69,-263,962,40,194,1000,-19,1
603000,40,1049,69,-254,962,20,203,990,0,1
603062,40,1029,79,-245,962,40,194,1000,-19,1
603125,50,1039,79,-254,962,20,203,990,-38,1
603187,50,1049,89,-254,962,50,194,1000,-19,1
603250,50,1049,59,-254,972,20,194,990,0,1
603312,50,1029,69,-263,962,20,194,1000,0,1
603375,30,1029,89,-263,953,30,194,990,-9,1
