B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
420000,50,1039,188,-209,962,90,9,1019,77,1
420031,50,1029,168,-209,972,80,29,1000,77,1
420062,50,1019,178,-209,972,111,19,1019,106,1
420093,50,1029,158,-200,962,111,19,1028,67,1
420125,60,1009,168,-218,953,101,29,1009,97,1
420156,50,1039,158,-200,972,80,29,1009,58,1
420187,50,1019,178,-190,962,101,9,1028,67,1
420218,60,1000,178,-181,962,70,9,1019,58,1
420250,40,1019,168,-190,962,90,38,1019,58,1
420281,40,1029,178,-209,953,111,19,1009,87,1
420312,40,1039,188,-227,962,111,19,1009,58,1
420343,50,1019,178,-227,953,111,19,1000,87,1
420375,50,1049,178,-218,962,90,29,1009,48,1
420406,50,1019,158,-209,962,101,29,1009,48,1
420437,70,1019,178,-209,972,101,19,1019,77,1
420468,40,1029,178,-181,953,90,9,1028,97,1
420500,60,1019,178,-200,981,70,9,1028,87,1
420531,40,1029,178,-209,972,101,19,1009,67,1
420562,50,1029,148,-218,962,101,19,1019,77,1
420593,40,1039,178,-218,962,111,38,1019,87,1
420625,50,1029,168,-209,972,90,29,1009,77,1
420656,50,1009,178,-218,972,111,19,1028,97,1
420687,70,1029,178,-200,972,90,9,1019,97,1
420718,30,1019,158,-209,962,90,29,1019,67,1
420750,40,1019,178,-200,962,80,29,1009,67,1
420781,70,1009,178,-218,962,111,9,1009,87,1
420812,40,1029,168,-209,962,101,29,1009,87,1
420843,40,1029,178,-209,953,90,19,1009,87,1
420875,60,1019,158,-227,962,101,9,1019,77,1
420906,40,1029,188,-218,972,111,38,1009,77,1
420937,40,1009,198,-200,962,90,19,1019,87,1
420968,50,1019,178,-200,962,90,19,1019,77,1
421000,50,1009,158,-209,962,111,29,1019,77,1
421031,50,1019,188,-209,972,101,9,1009,97,1
421062,50,1019,178,-218,972,111,19,1019,97,1
421093,50,1029,198,-218,962,111,29,1019,87,1
421125,60,1019,188,-209,962,90,38,1019,77,1
421156,60,1019,158,-200,981,80,29,1009,87,1
421187,40,1029,178,-227,953,111,29,1009,87,1
421218,50,1019,188,-218,962,111,19,1019,77,1
421250,50,1029,178,-200,962,101,19,1019,106,1
421281,50,1029,168,-209,962,80,19,1019,97,1
421312,40,1019,178,-200,953,90,19,1028,77,1
421343,60,1029,168,-209,972,101,19,1019,77,1
421375,60,1029,178,-209,953,101,19,1019,87,1
421406,50,1019,188,-209,962,90,29,1019,97,1
421437,60,1019,188,-209,962,131,19,1009,97,1
421468,60,1029,168,-200,981,101,19,1019,87,1
421500,50,1029,198,-209,972,90,29,1019,97,1
421531,30,1019,178,-227,962,121,9,1000,106,1
421562,60,1039,207,-227,953,111,38,1009,77,1
421593,10,1029,178,-218,953,90,19,1038,87,1
421625,60,1029,168,-190,962,111,38,1028,106,1
421656,70,1029,178,-181,990,111,38,1038,97,1
421687,60,1039,168,-190,972,121,29,1019,87,1
421718,30,1019,168,-236,944,131,38,1009,87,1
421750,40,1009,198,-254,953,131,9,1009,77,1
421781,40,1019,198,-245,944,131,29,1000,97,1
421812,70,1029,178,-209,953,101,29,1000,87,1
421843,60,1039,198,-227,962,141,29,1028,106,1
421875,60,1029,178,-209,972,111,19,1019,77,1
421906,40,1029,168,-200,962,80,29,1019,87,1
421937,80,1039,168,-190,972,90,29,1009,97,1
421968,50,1029,178,-209,972,101,38,1009,87,1
422000,70,1029,178,-218,972,90,48,1009,116,1
422031,60,1029,188,-227,962,90,58,1009,97,1
422062,70,1019,158,-209,953,101,38,1000,87,1
422093,70,1039,168,-200,962,90,38,1019,87,1
422125,60,1029,198,-209,962,101,58,1009,97,1
422156,60,1009,178,-218,962,111,58,1009,97,1
422187,60,1029,168,-218,972,111,58,1028,87,1
422218,80,1019,168,-209,972,111,58,1000,97,1
422250,60,1029,168,-209,981,111,58,1019,97,1
422281,70,1029,158,-200,953,111,58,1009,87,1
422312,60,1049,158,-227,962,80,48,1009,77,1
422343,60,1029,158,-218,981,111,58,1019,87,1
422375,50,1049,138,-209,962,90,67,1019,87,1
422406,50,1039,148,-200,972,80,48,1009,106,1
422437,70,1029,138,-200,981,80,58,1019,77,1
422468,40,1039,138,-227,962,90,67,1009,97,1
422500,70,1039,128,-245,953,111,77,1019,87,1
422531,40,1039,128,-281,925,141,67,1009,67,1
422562,30,1058,158,-390,888,191,67,990,87,1
422593,30,1068,148,-436,870,242,67,961,77,1
422625,80,1098,168,-318,879,222,58,952,67,1
422656,111,1107,178,-236,935,262,38,980,58,1
422687,90,1186,99,-309,1046,161,48,1028,48,1
422718,50,1205,138,-309,990,212,58,1057,58,1
422750,121,1107,148,-263,990,80,19,1000,67,1
422781,282,980,118,-172,1055,-10,-19,1019,106,1
422812,111,941,168,-18,1074,-101,-9,1095,106,1
422843,-727,754,326,-45,962,101,48,1095,58,1
422875,-434,833,445,-263,962,303,19,1028,48,1
422906,-101,1009,435,-245,935,323,-38,1019,67,1
422937,-50,1117,287,-172,990,242,-58,1000,97,1
422968,-181,1107,118,-254,935,90,-67,971,116,1
423000,-262,1098,39,-354,907,-20,-87,980,126,1
423031,-121,1137,99,-463,805,30,-97,952,126,1
423062,161,1147,59,-209,694,303,-126,990,106,1
423093,666,1147,128,-218,750,393,-194,895,126,1
423125,1030,990,99,-290,740,121,-165,923,174,1
423156,787,1107,-188,-363,833,111,-106,1076,106,1
423187,606,1549,-29,-836,907,343,19,1276,-9,1
423218,-313,1117,-207,-418,1138,-222,106,1057,223,1
423250,181,892,405,-109,759,-70,-106,942,-38,1
423281,303,1058,297,-36,1111,272,48,1323,-29,1
423312,60,970,158,-218,1037,131,135,1095,19,1
423343,70,1000,158,-190,990,80,97,980,29,1
423375,30,1019,118,-263,981,40,106,1057,87,1
423406,80,1058,217,-227,990,222,116,1028,19,1
423437,70,1009,227,-254,962,252,48,980,-29,1
423468,70,1039,198,-263,925,181,67,904,-29,1
423500,80,1019,207,-218,981,171,58,1047,48,1
423531,70,1009,178,-209,1000,161,58,1028,58,1
423562,80,1019,207,-254,944,171,29,980,48,1
423593,90,1029,217,-245,944,191,48,980,77,1
423625,90,1009,207,-254,935,171,77,952,29,1
423656,121,1009,217,-218,962,151,67,1009,77,1
423687,101,1039,198,-200,981,121,67,1009,97,1
423718,131,1049,237,-218,962,202,19,933,106,1
423750,90,1068,198,-309,916,191,9,961,106,1
423781,121,1068,217,-309,907,232,19,914,145,1
423812,111,1039,237,-309,888,222,0,971,126,1
423843,212,1049,217,-190,944,171,-9,1009,135,1
423875,171,1176,237,-163,990,313,97,961,29,1
423906,141,1352,267,-418,1074,343,38,1219,48,1
423937,0,1431,128,-709,1018,353,77,1228,135,1
423968,0,1450,188,-590,972,282,29,1114,87,1
424000,40,1382,297,-436,972,191,0,1009,29,1
424031,80,1362,396,-363,972,323,48,933,-19,1
424062,343,1558,346,-127,870,434,145,933,0,1
424093,222,1127,227,363,1185,181,174,885,48,1
424125,313,715,138,454,1333,50,116,990,106,1
