B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
670000,-90,1000,257,-245,962,10,-135,1019,-87,1
670031,-70,990,267,-245,972,50,-126,1009,-87,1
670062,-70,1009,257,-245,953,30,-116,1000,-77,1
670093,-90,1009,277,-245,953,50,-116,1000,-97,1
670125,-80,1000,277,-236,953,20,-116,1009,-97,1
670156,-70,1009,277,-236,972,40,-97,1009,-97,1
670187,-101,1009,267,-245,953,40,-116,1019,-97,1
670218,-90,1009,257,-227,962,40,-116,1000,-87,1
670250,-90,1009,257,-236,972,20,-97,1009,-67,1
670281,-80,990,277,-263,962,30,-116,1019,-77,1
670312,-80,1009,267,-263,944,30,-106,980,-67,1
670343,-80,1009,277,-245,962,20,-97,1009,-97,1
670375,-80,990,257,-254,972,30,-97,990,-77,1
670406,-90,1009,267,-254,953,40,-116,1019,-87,1
670437,-70,1009,277,-245,962,20,-97,971,-77,1
670468,-80,1009,257,-245,953,40,-106,1009,-77,1
670500,-80,1000,287,-254,962,30,-116,1009,-97,1
670531,-90,1000,287,-263,962,50,-106,1000,-87,1
670562,-80,1009,277,-254,953,20,-116,1009,-97,1
670593,-90,1009,287,-254,962,20,-106,1000,-77,1
670625,-101,1009,257,-254,962,30,-106,1009,-77,1
670656,-90,990,267,-254,953,40,-116,1009,-97,1
670687,-70,1000,287,-254,962,50,-116,1000,-97,1
670718,-90,1009,257,-254,953,30,-126,1019,-87,1
670750,-90,1000,277,-263,953,40,-106,1009,-77,1
670781,-70,1000,287,-245,953,20,-106,1019,-97,1
670812,-90,1000,267,-254,953,40,-87,990,-87,1
670843,-90,1000,267,-245,962,20,-106,1009,-67,1
670875,-80,1000,287,-263,953,50,-116,1009,-87,1
670906,-70,1000,277,-236,953,30,-116,1019,-106,1
670937,-70,1009,277,-254,953,30,-116,1009,-87,1
670968,-80,1000,267,-254,962,20,-106,1000,-97,1
671000,-90,1009,267,-245,944,40,-116,1019,-106,1
671031,-80,1000,277,-254,962,30,-106,1000,-87,1
671062,-101,1000,277,-254,962,40,-116,1009,-87,1
671093,-90,1000,257,-254,962,20,-116,1000,-77,1
671125,-60,1019,247,-245,953,40,-97,990,-77,1
671156,-80,990,277,-245,972,30,-116,1009,-77,1
671187,-80,1000,277,-263,972,40,-106,1009,-77,1
671218,-80,1000,267,-245,962,30,-116,1019,-106,1
671250,-80,1009,257,-245,935,40,-126,1000,-97,1
671281,-90,1009,277,-254,962,20,-116,1009,-106,1
671312,-80,1009,287,-263,953,60,-106,1000,-67,1
671343,-80,1009,257,-245,962,40,-116,1009,-58,1
671375,-80,1000,297,-245,953,30,-106,1019,-77,1
671406,-90,1000,277,-254,962,20,-116,1028,-97,1
671437,-90,990,257,-263,962,10,-116,1009,-97,1
671468,-70,1000,277,-245,962,30,-106,1000,-97,1
671500,-90,1000,287,-236,944,30,-106,1019,-87,1
671531,-90,1000,257,-245,953,20,-106,1009,-87,1
671562,-70,1009,267,-254,962,30,-116,1000,-58,1
671593,-80,1009,267,-245,953,40,-116,1009,-97,1
671625,-90,1009,267,-263,962,60,-106,1009,-77,1
671656,-70,1019,267,-245,953,40,-126,1019,-97,1
671687,-80,1009,267,-254,962,40,-126,1009,-97,1
671718,-70,1009,267,-254,962,40,-106,1009,-97,1
671750,-70,1000,287,-254,981,20,-126,1009,-77,1
671781,-90,1009,287,-254,972,40,-106,990,-67,1
671812,-70,1009,267,-254,962,40,-116,1019,-97,1
671843,-90,1009,267,-245,953,50,-126,1009,-97,1
671875,-80,1019,267,-254,962,30,-116,1019,-97,1
671906,-70,990,267,-254,962,50,-116,1019,-77,1
671937,-70,1009,257,-236,953,30,-106,1000,-87,1
671968,-70,1019,247,-236,962,50,-106,1000,-87,1
672000,-70,990,277,-254,953,50,-116,1009,-67,1
672031,-80,1000,247,-245,962,20,-116,1000,-106,1
672062,-90,1000,277,-245,972,30,-106,1009,-87,1
